-1:45 | (Member (2 months)) third12[三塁]
10:22 | (Member (1 month)) waldrick waldrick: the 'club' theme is when you bonk us on the head with it...
10:31 | (New member) LX
10:54 | (Member (6 months)) thundercookie15: I believe in the MillieMilkers, but the HAT WILL BE MISSED
11:36 | *€5.00* Quinmael: No more copium, only holy bonkers badonkers
11:59 | *€2.00* Midir Danann: if we ship you and petra is that Club penguin?
12:05 | *$1.99* Homo.antics: THE QUEEN OF CLUBBING LMAO
12:37 | (Member (6 months)) flakesnpie: I BELIEVE IN THE BOOBA, I ALWAYS HAVE:_MillieBurn::_MillieBurn::_MillieBurn:
13:08 | (Member (6 months)) Takimori. 寂しい: BOOBA!!:_MillieCope::_MillieCope::_MillieCope:
13:15 | (Member (1 month)) P1234M
13:31 | (Member (6 months)) NEON: Sorry Millie the bell is more powerful □
13:42 | (Member (2 months)) soufflei ♡: hmmm:_MillieCope:
14:02 | (Member (6 months)) *₱125.00* Nightmareflame: :red_heart::red_heart::red_heart:
14:03 | (Member (2 months)) Crowe: Time to take out your copium guys :_MillieCope::_MillieCope::_MillieCope:
14:10 | *$2.00* vante2: left: expectations. right: reality
14:25 | (Member (6 months)) PK Scratch: Badonkers or a club shaped staff? Let's find out.
14:28 | (Member (2 months)) Freya Vanadis: booba beliver:_MillieCope::_MillieCope::_MillieCope:
14:33 | (Member (2 months)) Deni
14:33 | (Member (6 months)) Koguma: side affect of copium 
14:57 | *$5.00* SpecterVonBaren: Millie, how much money did you spend to get this much copium from Magni?
15:18 | *CA$5.00* Jorts Fortitude, #715 : "have you guys ever thought-" No:orange_heart:
15:22 | (Member (1 month)) Narutakii : Booba or flatland HOLD:_MillieCope::_MillieCope:
15:30 | (New member) fjv
16:04 | (Member (1 month)) DRUMORIZ: PASS
17:52 | (Member (6 months)) *$5.00* wildnexus: I dunno if you have da booba but i know y'all know an amazing baker so I believe in the baker! :_MillieHeart:
18:08 | (Member (6 months)) *CLP 1,000* RowJ: Heterocopium
18:48 | (Member (2 months)) cryptidferrets: the booba windows is turning me into a believer :_MillieFlushge:
19:03 | *R$2.00* Ezequias Lima: No one is questioning about tail.....(bonked)?
20:22 | *₱250.00* VIM: ready for Millie's Bakery grand opening
20:28 | (Member (6 months)) *$5.00* Pinkerton: That last one was almost an unwich :_MillieFlushge:
21:14 | (Member (6 months)) woda the hedgehog: Got here in time, nice :_MillieClap:
22:10 | (Member (6 months)) *R$2.00* woda the hedgehog: #KeepTheFlatAlive
23:14 | (Member (1 month)) *₱300.00* Clary Sage: advanced congratulations on 2nd outfit. i cant stay for too long i have somewhere to go. nice predictions from artists cute. bread or no bread youll still be our precious witch of calamity.
23:44 | (Member (1 month)) Sinblio: RIP□
24:03 | (New member) Jonathan
24:12 | (New member) ZirKelle
24:19 | (Member (2 months)) ExaÐril: Robe Enjoyer indeed..:_MillieHeart::_MillieHeart:
