-0:09 | (Member (2 months)) Kyuu (Reimu's wife) 
53:23 | (Member (6 months)) Pupi: Reimu I'm begging you I'm on my knees please I :man_kneeling::man_kneeling::man_kneeling::man_kneeling:
53:24 | *$5.00* saltgodtv: i love that your hair blends in with the dress its really cute and a very nice design 
53:39 | (Member (6 months)) Alex: impossible:_ReimuCry:
53:51 | *$2.00* Mikas fries (Pomus Thighs Geegas Eyepatch): PADDED PADDED PADDED
54:05 | *$5.00* Happy Tireal: Those are some well defined pecs
54:07 | (Member (6 months)) SelvariaBles: Congratulations on the pretty dress! (and the bread)
54:14 | *$1.99* Tai-Lee 👍: Strangle me 
54:30 | (Member (6 months)) *$5.00* Vic: BREAD IS BAKED, GENTS
54:42 | (Member (2 months)) *COP 4,000.00* Cammy: EL PAN ES REAAAAAAAL
54:45 | (Member (2 months)) *HK$158.00* yaho: I’m looking at your eyes. Pretty.
54:45 | *NT$30.00* yulin: god let's me hug you
54:55 | *IDR 50,000.00* old man: jiggly puff, aye so thts wht your notes meant.
55:16 | (Member (2 months)) *DOP 100.00* Leo Fdz Fdz Nesticle #1: I-.. I'm sorry I can see the skulls
56:14 | *$2.00* Mikas fries (Pomus Thighs Geegas Eyepatch): Can you say something sexy in spanish?
57:10 | *HK$15.00* youfia __: :smiling_face_with_halo:🙏🏻:sparkles:
59:47 | *£5.00* oddball-boy: WHY COULDN'T THE GHOST COMEDY BECAUSE THEY DIDN'T WANT TO GET BOO'D
59:51 | *$4.99* Kat: Staff-san?
1:01:17 | *$99.99* 酒井エリ・eri sakai: staff physics tskr
1:01:37 | (Member (6 months)) *$2.00* Sanera: So this is the true identity of staff-san
1:04:00 | (New member) I Miss The Hat
1:04:01 | *$1.99* sbubby: REIMU EARS REAL
1:04:05 | *$2.00* Dolliette ☕️🍂: The perfect staff to bonk with...bonk me please
1:04:28 | *$5.00* Cutie Kanroji: If there was merch of your choker, I'd buy it in a heartbeat
1:04:37 | *$5.00* Ignis [He•Him]: I will give you horchata if you do
1:04:41 | *$1.99* Miraii Midford🎭👟: REIMU IM BEGGING:woman_kneeling::woman_kneeling:
1:05:05 | (Member (2 months)) *DOP 100.00* Leo Fdz Fdz Nesticle #1: mi amor mi vida mi corazon porfavor please show us
1:05:21 | (Member (2 months)) *NT$150.00* JULIA: I just begging your kind my queen please
1:05:23 | *HK$15.00* youfia __: please:pleading_face::sparkles:
1:05:33 | (Member (6 months)) *$2.00* Dr. S. Shenanigans: Is that Anime Mom Hair? Prove me wrong
1:05:54 | (Member (6 months)) Everybody Loves Cheese: Are you doing another Finana?
1:05:59 | (Member (6 months)) *₱25.00* myrrhmidon
1:06:04 | *$5.00* IDEFKanymore: I stopped my moving out process for this
1:06:09 | *$2.00* HaloJones: Face reveal out of the kindness of your heart then
1:06:13 | (Member (6 months)) *₱50.00* myrrhmidon: PLEASE
1:06:19 | *ARS 4,500.00* Mechaotakuwolf: Imma go broke just to see your face queen
1:06:23 | (Member (6 months)) *₱125.00* myrrhmidon: I"M
1:06:32 | (Member (6 months)) *₱250.00* myrrhmidon: BEGGING
1:06:45 | (Member (6 months)) *₱500.00* myrrhmidon: BARK BARK
1:07:02 | (Member (6 months)) *₱1,250.00* myrrhmidon: WOOF WOOF
1:07:16 | (Member (6 months)) *₱2,500.00* myrrhmidon: MY QUEEN
1:07:20 | *£2.00* oddball-boy: SO NO HEAD?
1:07:21 | *$10.00* 26_PassTheMilk_14: I stopped building my particle accelerator to watch this MI Reina:white_heart::white_heart:
1:07:26 | (Member (6 months)) ju juju: お願いー
1:07:31 | *$5.00* vante2: REIMU FINALLY GOT SOME SLEEP LET'S GOOOOOOOOOOOO
1:07:40 | (New member) witchydaisies
1:07:48 | *₱125.00* Boys Love and Taxation: Aww!! How can we say no when the queen is begging us to beg a little bit more? Hahahaha! Love you Reimu!!
1:08:00 | (Member (6 months)) *$10.00* Bionic Hippo: :crown:QUEEN :_ReimuLove:
1:08:15 | *$10.00* Codie: :red_heart::folded_hands: Please Queen :folded_hands::red_heart:
1:08:32 | (Member (2 months)) klein克莱恩: cool girl ！！:_ReimuLove:
1:08:44 | *AED 184.99* Aiと: PLEASE 
1:09:10 | *$2.00* Mikas fries (Pomus Thighs Geegas Eyepatch): REIMU PLEASE STOP EDGING US
1:09:10 | (Member (6 months)) *$10.00* Alex: pls show nose
1:09:13 | *¥800* nana: so cute im ganna crying
1:09:20 | (New member) froinky
1:09:21 | (Member (2 months)) *A$100.00* ChickenKaichou: My favourite part of the design, my lovely Queen's smile~
1:09:49 | *$5.00* NS-519🐣🏆: Nose donde está tu nariz.
1:09:50 | *$5.00* WireSun7: :folded_hands:Please:folded_hands:
1:10:06 | *$20.00* Pinkerton: :folded_hands:REIMU'S EYES:folded_hands:
1:10:16 | (Member (2 months)) Cammy: ARE THOSE QUIMBAYA PLANES
1:10:23 | (Member (6 months)) *$10.00* Bionic Hippo: WELL RESTED REIMU LETS GO
1:10:29 | (Member (6 months)) Dusk♡: :_ReimuLove::_Ring::_Ring::_Ring:
1:10:30 | *$5.00* Salty Z3r0: :folded_hands:Reimu Cute:folded_hands:
1:10:34 | (Member (6 months)) Catte: *dies from the cuteness*
1:10:40 | *$5.00* flashtirade (A15): CUTE CUTE CUTE CUTE CUTE 
1:10:42 | *MYR 4.50* 🍌🍌荒川Aya
1:10:50 | (Member (1 month)) Skypen: SO CUUTE:_ReimuLove::_ReimuLove::_ReimuLove:
1:10:51 | (Member (6 months)) *$24.34* Splagoon:  my queen :_ReimuShy:
1:10:55 | (Member (1 month)) Kureiji Rrazz: My queen you are so pretty! :_ReimuLove:
1:11:04 | (Member (6 months)) *R$2.00* woda the hedgehog: NO EYEBAG REIMU WHAT
1:11:05 | *¥200* わーたん: Thank You sooooooooooooo much
1:11:14 | (Member (6 months)) デスヨ。: 最高に可愛いぜMy QUEEN！！！！！！！
1:11:19 | *$4.99* sbubby: REIMU CHANNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN!!!!!!! LOVEEEEEEE
1:11:21 | *€13.00* Sephira: Un don pour la plus belle reine des cœurs fantomatique. :red_heart::crown::ghost: Tiens tu es le nouveau boss de Kingdom Hearts. Je vais clossing door to darkness avec Donald et Dingo. :duck::dog2::key::door:
1:11:29 | (New member) *¥1,000* Mittukan: :_ReimuLove::_ReimuLove::_ReimuLove:
1:11:30 | (Member (6 months)) *$2.00* Dr. S. Shenanigans: No Eyebags Reimu is SUS
1:11:39 | (New member) *MYR 6.00* Kon Koffee: Congrats Reimu!! This is soooo cutee my queen!! :red_heart:
1:11:42 | (Member (2 months)) *¥2,000* らら: so cute:loudly_crying_face:
1:11:49 | (Member (2 months)) Alexx: My queen is so cute:_ReimuLove::_Ring::_ReimuLove:
1:11:59 | (Member (6 months)) *R$5.00* woda the hedgehog: Looking more and more like a true queen :_ReimuLove:
1:12:02 | (New member) Sandra.🍃
1:12:03 | *NT$75.00* Choco: Let's gooooo my Queen 
1:12:16 | (Member (2 months)) *$5.00* miaowpuff -: YOU'RE SO PRETTY MY QUEEN :_ReimuLove::_TSKR:
1:12:24 | (Member (6 months)) *COP 20,000.00* ANDREW0808ful
1:12:28 | (Member (1 month)) *THB 40.00* Eve Infinity: Where did you hide "SLeep deprived" Reimu!?
1:12:28 | (Member (6 months)) *¥1,000* ゅ_: 超超超超かわいい！！だいすき！！:loudly_crying_face::heart_suit:
1:12:28 | (Member (6 months)) *$20.00* Vic: :folded_hands::folded_hands::folded_hands: COWLICK :folded_hands::folded_hands::folded_hands:
1:12:33 | (Member (6 months)) *ARS 450.00* 墨黎ロナ: so pretty so cute:_ReimuLove::_ReimuLove::_ReimuLove:
1:12:36 | (Member (6 months)) *€100.00* Mirko D: Reimu Endou, Queen of Hearts, I kneel before your beauty! Your Mama is a genius and did an amazing Job with the outfit. You already stole our hearts but now you rightfully rule over them! You are the cutest and most beautifully Queen we could ever asked for Reimu! :white_heart::white_heart::white_heart::white_heart::white_heart:
1:12:42 | (Member (6 months)) *HK$78.00* MinKai カイ: TSKR TOO PRETTY MY QUEEN
1:12:42 | (Member (2 months)) *NT$750.00* ときと(Tokito): You are so beautiful!:_ReimuLove::_Ring:
1:12:50 | (Member (2 months)) *$5.00* saku: MY SWEET BABY GORGEOUS DARLING I WILL WORSHIP AT YOUR FEET WHENEVER YOU SAY THE WORD
1:12:51 | (Member (2 months)) *$10.00* peppament: Reimu finally got some rest :_ReimuLove::_ReimuLove::_ReimuLove: So pretty....
1:12:51 | (Member (6 months)) *¥1,000* 2Ne7 rum: 可愛い
1:12:52 | (Member (6 months)) *¥5,000* あまいゆのすけ: 新衣装おめでとう！！！とても可愛いです大好き:loudly_crying_face::white_heart:いっぱい写真撮るね:_ReimuLove::_ReimuLove:
1:13:07 | (New member) *₩5,000* SSOL: 新衣装とってもゴージャス！！！霊夢大好き！！！:growing_heart::growing_heart::growing_heart:
1:13:34 | *HK$25.00* sawa澤: omg you are so cute my wife :red_heart::red_heart:also thank you for the new outfit :partying_face::partying_face:
1:13:45 | (New member) *$5.00* NotoriousBSG82: Congrats on your new outfit, you are very beautiful my queen Reimu :_ReimuLove::_ReimuLove:
1:13:52 | (Member (6 months)) *HK$25.00* Dusk♡: Reimu:place_of_worship::place_of_worship::place_of_worship::place_of_worship::place_of_worship:
1:14:08 | (Member (1 month)) *$4.99* TriPrincess: Reimu congrats on your new outfit! Absolutely gorgeous! You work hard and deserve to wear this outfit. Keep up the good work and slay like a queen! :crown::growing_heart:
1:14:12 | (Member (1 month)) Akira xu: So cuteeeeee!:_ReimuLove::_ReimuLove::_ReimuLove::_ReimuLove::_ReimuLove:
1:14:19 | *NT$15.00* Yu Ui Corle【ユ ウイ コリ】
1:14:30 | (New member) 栩宮えり
1:16:13 | *$5.00* Ignis [He•Him]: HOW IS SHE SO CUTE, MY LATINA QUEEN 
1:19:29 | (Member (6 months)) D3athstrike: :_ReimuLove::_ReimuLove::_ReimuLove:Destroy me
1:20:08 | (Member (2 months)) Bruce: I BEND THE KNEE
1:20:11 | (Member (6 months)) Apostel Sven: is this the villain background story?! 
1:20:13 | (Member (6 months)) Migas Eu: My queen:_ReimuCry:
1:20:20 | (Member (6 months)) Freya Vanadis: kneeling for my queen:_ReimuLove:
1:21:03 | *CA$20.00* Ropewash: Excellent work on that lore.
1:21:06 | (Member (6 months)) Twinkleかき: :folded_hands: Reimu my queen :_TSKR:
1:21:43 | (Member (2 months)) *NT$1,500.00* RMP: Love You My Queen
1:22:10 | (Member (1 month)) *SGD 20.00* XIAOYU: my queen
1:22:15 | (Member (1 month)) サミ
1:22:15 | (Member (2 months)) Sz: :_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight:
1:22:29 | (Member (6 months)) cao cao: :_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight:
1:22:42 | (New member) *$2.00* NotoriousBSG82: SLAY MY QUEEN REIMU :_ReimuLove:
1:22:46 | (Member (6 months)) ミィァォガー: :smiling_face_with_halo:I LOOOOOOVE YOU......
1:22:56 | (Member (2 months)) Delta 57 Dash
1:22:57 | *THB 100.00* ayane: :crown: YES QUEEN 
1:22:59 | *THB 69.00* Sora: Long live the QUEEN
1:23:08 | (New member) Elan
1:23:19 | (Member (2 months)) Composer 7
1:23:19 | (New member) Rinna
1:23:48 | (Member (1 month)) Rennii MisShu
1:23:50 | (Member (6 months)) *NT$1,500.00* inekiいねき: MY QUEEN :crown:
1:23:55 | (New member) *NT$30.00* F L: :_REIMU::_ReimuLight::_ReimuLight::_ReimuLove::_ReimuLove:
1:24:01 | (Member (6 months)) Jose Panameno: that was beautiful queen Reimu.
1:24:04 | (New member) Lady Waffle
1:24:04 | (Member (1 month)) JOLENE™: 1 month!:_ReimuOTSU:
1:24:05 | *$5.00* Deraru's World: congrats on your new outfit reimu looks cute :two_hearts: and im glad i didnt miss this sooo goood, you did great:crown: *hugs*
1:24:14 | (Member (2 months)) *$20.00* miaowpuff -: YOU SANG SO BEAUTIFULLY MY QUEEN :_ReimuLight::_ReimuLight::_ReimuLight:
1:24:18 | (New member) *NT$150.00* 👹Konni🧧: MY QUEEN!! YOU ARE SO GORGEOUS! KNEELING NOW:_REIMU::_Ring:
1:24:40 | *SAR 25.00* fluffy yagi: slay Queen! you look amazing! can you say hi to my Friend he loves ur outfit his name is Kirby! he loves ur Spanish lots :red_heart::red_heart:
1:24:42 | (New member) Yuhui Pai
1:24:53 | *¥500* なお*(nao*)
1:25:13 | *PEN 6.00* Edwin Villano: que hermosa estás :) Reimu.
1:25:17 | (New member) Malia
1:25:33 | *MX$25.00* Dawn THE NEMO: Tu voz siempre me mata de amor ily
1:25:37 | (Member (1 month)) Deer
1:25:41 | (Member (2 months)) *NT$22.00* Yuwi
1:25:56 | (Member (2 months)) *HK$250.00* Nyanya: QUEEN YOU ARE AMAZING:red_heart::red_heart::red_heart:
1:26:42 | (Member (6 months)) Blamade
1:26:58 | (Member (2 months)) *THB 100.00* dolce:ドルチェ*。: HOLY SHEESH MY QUEEN YOU'RE SO GORGEOUS I LOVE YOU :_ReimuLight::_TSKR:
1:27:22 | (Member (6 months)) *€5.00* Mirko D: I am so happy to hear you sing again Reimu! I love you my Queen!
1:27:55 | (Member (6 months)) vickyrock5: BEBA YOU LOOK GORGEOUS OMG
1:27:55 | (Member (6 months)) NoxShadow: :_ReimuChuu:
1:28:19 | (New member) ほのおれい
1:28:29 | (Member (6 months)) dsuzu ⛓️: Esto fue hermoso, eres una reina la reina de mi corazón
1:28:31 | (Member (2 months)) NEON: Gifted 1 Reimu Endou【NIJISANJI EN】 memberships
1:29:11 | (New member) *₱125.00* usachi (•ねち•): Queen! :red_heart::crown: 本当にきれい:double_exclamation_mark:
