0:42 | (Member (2 months)) Lumos🎐: :_glowstick1::_cheer::_glowstick2::_glowstick1::_cheer::_glowstick2:
0:42 | (Member (2 months)) Huang Rita: :_fanboy:
0:42 | (Member (6 months)) ころっけ_korokke: :_glowstick1::_cheer::_glowstick2:
0:42 | (Member (2 months)) 민첸첸: Fightingggggg:_fanboy::_fanboy::_fanboy:
0:42 | (Member (6 months)) LIHAN: :_cheer::_cheer::_cheer:
0:43 | (Member (2 months)) kyra 🍡🌟: :_fanboy::_fanboy::_fanboy:
0:43 | (Member (2 months)) Bbnnsp: :_cheer::_cheer::_cheer:
0:43 | (Member (2 months)) Remaink 墨餘: let's goooooooo:_fanboy::_fanboy::_fanboy:
0:43 | (Member (6 months)) Ziv: :_fanboy::_fanboy::_fanboy:
0:43 | (Member (2 months)) GRAY ’h: LET'S GOOO:_cheer::_cheer::_cheer:
0:44 | (Member (2 months)) M A I: let's goooo:_cheer::_cheer::_cheer:
0:44 | (Member (2 months)) Yoon_Anna: :_glowstick1::_cheer::_glowstick2::_fanboy:
0:44 | (Member (2 months)) minianntoni: :_fanboy::_fanboy::_fanboy:
0:45 | (Member (6 months)) Teddie [Breadloaf]: :_cheer::_cheer::_cheer:
0:46 | (Member (2 months)) Riiiiiiiich🖋️🔮: :_glowstick1::_cheer::_glowstick2::_glowstick1::_cheer::_glowstick2::_glowstick1::_cheer::_glowstick2:
0:46 | (Member (1 month)) YJxYujin: Let's gooooo :_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy:
0:46 | (Member (2 months)) ちまき
0:47 | (Member (6 months)) Serrylyn: IKEY :_cheer: WIKEY :_cheer: KAWAII :_fanboy:
0:47 | (Member (6 months)) 月見斐夜 /Tsukimi AyaYoru: :_glowstick1::_glowstick2::_glowstick1::_glowstick2::_glowstick1::_glowstick2:
0:47 | (Member (6 months)) しゅが〜: :_glowstick1::_fanboy::_glowstick2:
0:48 | (Member (2 months)) わんゆ🐟: :_cheer::_cheer::_cheer:
0:48 | (Member (2 months)) min
0:48 | (Member (6 months)) aikomeii: :_glowstick1::_excite::_glowstick2::_glowstick1::_excite::_glowstick2:
0:49 | (Member (6 months)) Sonnen BaaM: IKZZZZZZ
0:49 | (Member (6 months)) 栞: LETS GOOOOOOOOOO:_glowstick1::_glowstick2::_cheer::_cheer::_cheer::_cheer:
0:50 | (Member (6 months)) haiyashi creampuff: the long-waited karaoke !:_ikecry::_ikecry::_ikecry::_fanboy:
0:50 | (Member (6 months)) ｅｍｕ: :_glowstick1::_glowstick1::_cheer::_glowstick2::_glowstick2:
0:50 | (Member (6 months)) YAO MEIKO: :_glowstick1::_glowstick1::_glowstick1::_cheer::_cheer::_cheer::_glowstick2::_glowstick2::_glowstick2:
0:51 | (Member (2 months)) あもうLavender: Ikey Wikey Kawaiii:_cheer::_cheer::_cheer:
0:51 | (Member (6 months)) Yoru
0:52 | (Member (2 months)) Roxanne: :_glowstick1::_cheer::_glowstick2::_glowstick1::_cheer::_glowstick2::_glowstick1::_cheer::_glowstick2:
0:52 | (Member (6 months)) ダネフシャ: :_cheer::_cheer::_cheer:
0:53 | (Member (6 months)) 劉里: IKEY:_fanboy:WIKEY:_fanboy:KAWAI:_fanboy:
0:53 | (Member (2 months)) Badrina21: Have fun as much as we are having fun ikeyyyy :blue_heart::blue_heart::blue_heart: Ganbaaaa otsuikeyyyy
0:53 | (Member (6 months)) スミエ_sumie: IKEY:_fanboy:WIKEY:_fanboy:KAWAII:_fanboy:
0:54 | (Member (6 months)) Eva Huang: Let's gooooooooooooo:_glowstick1::_fanboy::_glowstick2:
0:54 | (New member) koko
0:54 | (Member (2 months)) ハルキ: \ikey/\wikey/\kawaii/:_glowstick1::_glowstick2::_cheer::_cheer::_cheer:
0:56 | (Member (2 months)) りょうか: Let’s goooooooooooo
