-2:49 | (New member) jajai
18:15 | (Member (2 months)) ミコ: damn why do i have this 3 months notifi again
18:16 | (New member) *A$20.00* Cherry: shu baby let's gooooooooo
18:24 | (Member (1 month)) *NT$22.00* 天城アリス∆Alice Amagi
19:09 | (Member (2 months)) *NT$670.00* woodstock: LUXIEM HAPPY 4 MOUNTHS :red_heart::orange_heart::yellow_heart::blue_heart::purple_heart:
19:11 | (New member) *₱125.00* 🍌🐯Misaki Rivaille: HAPPY 4 MONTHS LUXIEEEEMM!! Congrats on this milestone!!
19:27 | (New member) αnemone
19:30 | (Member (2 months)) Cattz Russell: EYYYYYYYYYYYYYYYYYYYYYYYYYYY
20:10 | (New member) Miyabi Ann
20:11 | (Member (2 months)) Fei 💜: LET'S GOOOOOOOOOOO
21:03 | (Member (2 months)) Fishsang 
21:37 | *¥610* なつき: Luxiemデビュー4ヶ月おめでとうございます！:blue_heart::orange_heart::red_heart::purple_heart::yellow_heart: 今日のヴァロラントコラボめちゃめちゃ楽しみにしてました！シュウくんのヴァロラント大好きです！楽しみながら頑張ってください:raised_fist::purple_heart:
22:07 | *¥500* 雨宮彼方: 応援してます！頑張って！٩(๑>∀<๑)۶Fight
23:55 | (Member (2 months)) Morning Cocoa: :_ShuLightL::_ShuLightL::_ShuPog::_ShuLightR::_ShuLightR:
24:16 | (Member (1 month)) ハムちーずサンド: nice
24:51 | (Member (1 month)) YB028: :_ShuFlex::_ShuFlex::_ShuFlex:
24:52 | (New member) Shine🎋eats bamboo
26:09 | (Member (1 month)) れな: :_ShuLightL::_ShuCool::_ShuLightR::_ShuLightR:
27:04 | (New member) silvia
27:20 | (New member) Jirapat YAMINIONS
27:47 | (Member (2 months)) *¥10,000* Leah W
27:55 | (New member) bhung🌤️
29:21 | (New member) Runa Sakurane桜音ルナ
29:27 | (Member (2 months)) *NT$22.00* nori22
31:17 | (Member (1 month)) *₱250.00* jayzel: my aimlabs is me clicking the superchat button everytime shu pops off in valorant :_ShuCool:
31:24 | (Member (2 months)) *HK$8.00* mikko
31:30 | (Member (2 months)) *NT$22.00* MIRAI LIN
31:43 | (Member (2 months)) Zuo蝦米
31:45 | (Member (1 month)) mokuzu: :_ShuLightL::_ShuYay::_ShuLightR:
32:09 | (Member (1 month)) ERIにゃん👟☯️: 5vs5、熱すぎます！！:_ShuLove:Luxiemデビュー4ヶ月おめでとうございます:_ShuYay:いつも楽しませてくれてありがとう:_ShuRainbow::purple_heart:Luxiemふぁいおー！
33:08 | (Member (1 month)) donburi: Shu Gamino:_ShuWut:
33:26 | (Member (2 months)) *NT$1,500.00* Emika Chien: Shu gamino let's gooooo
33:31 | *₱50.00* Raphael Acaylar: shu pog
34:45 | (Member (2 months)) Twirrley Seed: Jeez, talk about wiping the floor with Noctyx.
34:46 | (Member (1 month)) *NT$150.00* 天城アリス∆Alice Amagi: Shu Gamino OMG:_ShuLightL::_ShuLightR:
35:51 | (Member (1 month)) 吳歡書: :_ShuLightL::_ShuPray::_ShuLightR:
36:23 | (New member) *¥150* ミカちゃん
36:34 | (Member (2 months)) *NT$1,500.00* usagihosi: Shu gamingno！eyyyyyyyyy 
36:38 | (Member (2 months)) 一三: 天才:_ShuPog::_ShuPog::_ShuPog:
36:59 | (Member (2 months)) 炭炭tantan: :_ShuLETSGO::_ShuLETSGO::_ShuLETSGO::_ShuLETSGO:
37:02 | (Member (2 months)) あやの: :_ShuLove::_ShuLove::_ShuLove::_ShuLove::_ShuLove:
37:17 | (Member (2 months)) ヘギ: Gaming Shu
38:26 | (New member) *HK$15.00* 透明な🫧: HE SHOT ME, CHAT
38:39 | (Member (1 month)) *¥1,000* tanachan_たなちゃん: うますぎて震えがとまらない:_ShuItchy::_ShuItchy::_ShuItchy:
39:32 | (New member) time
39:35 | (New member) M. Musicbox
41:25 | (New member) Bañaña Brëåď
41:26 | (New member) Voru♡︎
41:27 | (New member) YuuMi1823
42:17 | (Member (1 month)) *ARS 1,000.00* Tinxiana_BuzZ: Shu
42:21 | (New member) *HK$500.00* 671 X
42:38 | (New member) *NT$150.00* 林欣怡: POG!!!!!
42:50 | (Member (1 month)) リンちゃん🐦: 16K:_ShuLove:
42:52 | (New member) *NT$150.00* Elpis: SHU GAMING LET'S GOOOOOOOOOOOOOOO
43:47 | (Member (2 months)) *₱99.00* mian: LETSGOOOOO :water_pistol::bear:
48:54 | (Member (2 months)) *¥500* 赤羽とうま(Toma): Luxiem:sparkles:WIN:white_flag:
49:45 | (New member) jxnlyy_
51:51 | (New member) HemiYuz
51:51 | (Member (1 month)) *HK$500.00* Sharon: lets gooooo
52:27 | *MYR 3.00* Zuzuyズズイ
52:57 | (New member) *$4.99* ねむねむ: LUXIEM GAMINGGG SHU GAMINOOO LETS GOOOO
53:24 | (Member (2 months)) Caerus: Let's Goooo！ Shu Gamino！eyyyyyyy :_ShuLove:
53:45 | (New member) Name No
56:24 | (Member (2 months)) AinoLily: Let’s gooo
58:36 | (Member (2 months)) *¥10,000* Leah W
59:27 | (Member (2 months)) *HK$15.00* カサネ KASANE: Shu Carryno lets goooo!!!!! 
1:02:03 | (New member) *NT$22.00* Li Yu
1:02:36 | (Member (2 months)) *NT$1,500.00* Miruku
1:03:13 | (New member) Corenna
1:03:17 | (Member (1 month)) CB: Shu Let's GOOOOOOOOO!
1:03:36 | (Member (1 month)) *NT$330.00* JuJuBoomb: shu gaming
1:03:45 | (Member (2 months)) 薯薯Potato: You just stole my heart:_ShuPien::_ShuLove:
