-4:08 | (New member) ももせ
26:25 | (Member (2 months)) *NT$150.00* Gena: TSKR THANK YOU :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
26:35 | *$10.00* Luciana Bueno: very tipsy and have work in like 4 hours, your asmr is making me fall asleep teal fast just when i needed it thank you boss 
26:37 | *$4.99* kimi :3: i love uu so much luca !!<3 
26:39 | (New member) snacks
26:41 | (New member) Andrea
27:07 | (New member) *$5.00* lia: LUCAAAA ilysm and you’re my favorite streamer!! :yellow_heart::yellow_heart::yellow_heart:
27:17 | (New member) Agape
27:25 | (Member (2 months)) *₱250.00* T_kun: Luca laugh asmr when
27:37 | (New member) Hengyuくろ
27:52 | (New member) *$99.99* Kikiking: wwwaaaaaaaaaa:loudly_crying_face:
27:53 | (New member) 白湯
27:56 | (Member (2 months)) Mya Hobbs: Boss you are great at asmr! I could sleep to your voice when it’s like this :_lucubPat:
27:57 | (Member (2 months)) *NT$150.00* Yami: I love you too:_lucubShy:
27:59 | (Member (2 months)) L
28:00 | (Member (2 months)) *$10.00* Riringo • リリンゴ: dye sue key you too boss :_lucubShy::_lucubShy::_lucubHeart:
28:03 | *¥1,220* すず: ！？！？！？
28:10 | (Member (2 months)) Ray Hung Pui Man: ボス,today is my bday. Hope you can say HB to me :_lucubHeart::_lucubHeart::_lucubHeart:
28:12 | *A$10.00* Tarutoma: Hi Boss, this is my first time making it to your live!!! Thanks for blessing our eardrums LOVE YOU SM :smiling_face_with_hearts::smiling_face_with_hearts: You're doing great btw!! :yellow_heart::yellow_heart::yellow_heart:
28:24 | (Member (1 month)) *ARS 1,000.00* 布恰C🥞ButcherC: Hi boss:pleading_face:I've been waiting for this day ever since I was born…Could you please say "wo xi huan ni"？it means I love you in Chinese:yellow_heart:Thank you!!!:yellow_heart:
28:27 | (New member) *HNL 75.00* Arsen: You could try reading some public domain poetry?
28:29 | (Member (2 months)) *HK$500.00* zhuyun 0924: zhuyun thankyou for the aka supa
28:30 | (Member (2 months)) *₱50.00* reigny AIRYS: rings asmr...maybe:_lucubShy:
28:34 | (New member) *A$0.99* HanZen
28:41 | *$4.99* FairyDragon 368: Can you whisper “pogchamp” softly in our ear 
28:46 | (Member (2 months)) Noctis: Could you please whisper ‘Hey lady, how do you feel?’ ONEGAI
28:56 | (Member (2 months)) *$100.00* Peachy cheek: daisukiiiii wuca □□□
29:09 | *₹1,000.00* flapjack: my :coffin: .. lucubs pls bury it on deezney. 
29:20 | (New member) *MYR 19.90* Avocado Milkshake: Boss can you hum a song or us ?
29:20 | (Member (2 months)) loki : aaa the ear blowing is the best
29:46 | (Member (2 months)) *₱1,250.00* gaby: you're so cute lmao thank you for making this stream possible :_lucubComfy:
29:46 | *$1.99* kimi :3: i love you so much luca !!<3
29:54 | (Member (2 months)) *HK$50.00* NAM★NATALIEee: POG. I AM DEAD.
29:54 | (Member (2 months)) miluo
29:57 | (Member (2 months)) *NT$1,500.00* 染子Someko: 僕も大好きー！！chu:yellow_heart:
30:09 | (Member (2 months)) Noka: Thank you. POG Than you, lucy.:_lucubHeart::_lucubHeart::_lucubHeart::_lucubHeart:
30:15 | (Member (2 months)) Yuki
30:15 | (Member (2 months)) *IDR 50,000.00* silvia: tskr
30:39 | (Member (2 months)) *$9.99* Brisa ඞ: Bro all this for free?!! What a day to be alive:weary_face:🙏🏻
30:40 | *NT$170.00* ウイUi: Hi Luca :yellow_heart: Can u show ur heart rate for us? Plzzzzz
30:52 | (Member (1 month)) *¥6,100* Hannah风棠: Boss even pogging in the ASMR stream, I can’t LMAO
30:54 | (Member (1 month)) *HK$25.00* Summer 👹🧧: Marry me boss:ring::yellow_heart::yellow_heart:
30:54 | (Member (2 months)) *NT$150.00* Mateo: :_lucubPOG1::_lucubPOG2::_lucubPOG3:
30:55 | (Member (2 months)) ssakuu: lucy tskr:_lucubShy::ring:
30:55 | (Member (1 month)) Bianbian_yt: I looooove Lucy :ring::ring::ring::ring::ring:
31:01 | (Member (2 months)) *A$30.99* Noctis: Can you please whisper ‘Come on baby’ or ‘Hey lady, how do you feel’ ONEGAI
31:11 | (New member) *$2.00* m0nstren: boss my heart cant take this:_lucubShy:
31:23 | (New member) Yam -ヤム
31:28 | (New member) *$19.99* snacks: some words of affirmation please :pleading_face: 
31:29 | (Member (1 month)) UTA: lucy i iove u:_lucubHeart:
31:30 | (New member) *$99.99* Kikiking: Boss I want to hear your evil smile and shout baby plzzzzzzz! 
31:30 | (Member (1 month)) *SGD 14.98* rachhh: tskr flushge
31:31 | (Member (2 months)) *HK$100.00* Mangur Farmur 🥭 :3: supa is free. free for lucy. tskr......helpppppppppppp□□□□
31:32 | (New member) *HK$250.00* まや_Maya: OMG ASMR TSKR!!!!THANK YOU BOSS!!!!!! CAN YOU SAY 'GOOD NIGHT MY GIRL'??? PLEASS:pleading_face::pleading_face::pleading_face:
31:42 | (Member (2 months)) Ahjielah Kei: lucy pls say :_lucubPOG1::_lucubPOG2::_lucubPOG3: □□□
31:51 | (Member (2 months)) *SGD 50.00* celestine: thank you for running so hard to stream it must have been tiring:_lucubPat: we appreciate you always and will always wait for u! don't be so hard on yourself next time baby boss we love u :yellow_heart: asmr 3dio mic TSKR... 
32:10 | (New member) CinnamonRoll
32:16 | (Member (2 months)) *NT$150.00* Ankle: Can you two just say something evil to us?:_lucubBonk:
32:50 | (New member) *NT$150.00* nostopstop 🍮: maybe lick the mic？:relieved_face:
33:01 | (Member (2 months)) *$10.00* Riringo • リリンゴ: #savelucubs □□□ your laughs... tskr...
33:30 | (New member) 曇
33:34 | (Member (2 months)) *NT$150.00* masa: tskr
33:59 | (Member (2 months)) Minah ?: :_lucubPog:
34:04 | (Member (2 months)) *$3.00* Asura Aoki
34:07 | (Member (2 months)) *CA$69.99* Sky ☁️ Kaneshiro: VP, ASMR, and karaoke tmr too, we Lucubs are so spoiled. Thanks for your hard work Boss. I’m very tskr’d
34:19 | (New member) *₩20,000* Nya: Boss, my heart is about to stop....... No no It's already stopped.... ( ˃̣̣̥ω˂̣̣̥ )( ˃̣̣̥ω˂̣̣̥ ) Help me PLZ
34:22 | (Member (2 months)) *HK$50.00* Mangur Farmur 🥭 :3: □ #savelucubs Mafia Boss is awful ...i cant.....i cant...tskr...
34:24 | (Member (2 months)) Weiqi Matcha🌻: OMG, I can't stand it:_lucubShy::_lucubShy:
34:30 | (Member (2 months)) *NT$150.00* Yohko 赤沢葉: THANK YOU. YOU TSKR ME:flushed_face:
34:58 | (Member (1 month)) *¥2,440* こーは Kohha: thank you BOSS:yellow_heart:DAISUKI :yellow_heart:
35:13 | (Member (2 months)) Ryuuko: :flushed_face::flushed_face::flushed_face::flushed_face:
35:28 | (Member (2 months)) *NT$300.00* MINIMINI☀️: can I hear Lucy say good night or good morning to me?
35:32 | (Member (2 months)) Atsumi
35:39 | (Member (2 months)) *$10.00* NadiaAAAH: AYO- I clicked on this to fall asleep not be transported to Heaven? :face_with_raised_eyebrow::face_with_raised_eyebrow::face_blowing_a_kiss:
35:41 | (Member (2 months)) 🍒七帆~nanaho: hey boss,:_lucubEZ1:today is my birthday. This year is a wonderful year. Let me know the lovely family of Luxiem and Nijisanji.:_lucubHeart:love you.
35:47 | (Member (2 months)) *MYR 15.00* KIKO フリーダム田辺: Are you the mean and evil boss now?:_lucubWideA::_lucubWideB::_lucubWideC::_lucubWideD:
35:56 | (Member (2 months)) *HK$500.00* zhuyun 0924: wuca u miss ed my aka supa:skull:but tskr！your voice is so good
35:58 | (Member (2 months)) *₱125.00* 𝙀𝙢𝙞『恵美』: Kanekuro my oshi whispering my name is enough for you to kill me 🙏🏻
36:11 | (New member) 도하 DOHA
36:12 | (Member (2 months)) FFumn: KURO.....
36:13 | (Member (2 months)) *₱125.00* Onion: J-just woke up..*flushge*
36:26 | (New member) Yoko. M
36:30 | (Member (2 months)) J M: :_lucubHeart:
36:31 | *$1.99* Coffin: CAN LUCY SAY SHE LOVES US?<33
36:39 | *₹400.00* flapjack: kakekuro can step on me
36:42 | (Member (2 months)) *$100.00* Mizuki Miyazaki: MY BEDROOM GETS SO HOT RIGHT NOW:_lucubShy:
36:46 | (Member (2 months)) geraldlim: TSKR:_lucubPlead::_lucubHeart:
36:54 | (Member (2 months)) *¥1,220* 碧 -あお- [Ao]: ありがとう…ありがとう...Thank you......
36:55 | (Member (2 months)) *¥1,000* 理†Osamu: KANEKURO MY OSHI TSKR
36:57 | (New member) 萱草(XUAN)
37:05 | (Member (2 months)) fei fei
37:06 | (New member) *NT$70.00* Kooki: Can you said “ Wo. Ai. Ni “
37:28 | (Member (2 months)) Churi Kaneshiro: :_lucubOMEGALUL::_lucubPOG1::_lucubPOG2::_lucubPOG2::_lucubPOG2::_lucubPOG2::_lucubPOG2::_lucubPOG3:
37:36 | (Member (2 months)) 梶村ゆゆゆ[YUYUYU]: TSKRRRRR:_lucubShy:
37:41 | (Member (2 months)) *$5.00* ✦ alice kaneshiro 💌: I thought at some point I'd get over you but you make it so difficult :face_with_spiral_eyes::yellow_heart:
37:41 | (Member (2 months)) *A$14.99* Noctis: Dear Kanekuro, can you please say ‘Come on baby’
37:43 | (Member (2 months)) *NT$1,500.00* 染子Someko: Love you so much
37:45 | (Member (2 months)) *NT$200.00* Louis R: T:yellow_heart:S:lion:K:yellow_heart:R:lion::yellow_heart:
37:55 | (Member (2 months)) *$5.00* vampz: I feel blessed right now, ur spanish is so good, boss! please keep talking, don't mind me... im just here 🧍🏻‍♀
38:03 | (Member (2 months)) *$100.00* Catwillow: :smiling_face_with_halo::smiling_face_with_halo:thank you for taking us to the sky boss:_lucubPOG1::_lucubPOG2::_lucubPOG3:
38:14 | (Member (2 months)) jiji: :_lucubPOG1::_lucubPOG2::_lucubPOG3::_lucubShy:
38:17 | (Member (1 month)) Suwei: :_lucubShy::_lucubShy::_lucubShy:
38:21 | (Member (2 months)) *₱125.00* Chi-Lyn: Thank you for all the blessings boss but... HAVE MERCY ON MY HEART OH QUEEN LUCY OH ALMIGHTY KURO ALMIGHTY SHIRO:crown::folded_hands: 
38:21 | (Member (2 months)) KOBO★: :_lucubHeart::_lucubHeart::_lucubHeart::_lucubPOG1::_lucubPOG2::_lucubPOG3:
38:32 | (Member (2 months)) SkyyNovva: TSKR:_lucubShy:
38:37 | (New member) *COP 8,900.00* Andrea: Can u pls say “Que linda eres”? is for science:face_with_monocle:🤝🏻
38:38 | (Member (1 month)) SuQi_OUO
38:49 | (Member (2 months)) 逸飛
40:38 | (Member (2 months)) Floresita: TSKR THANK U FOR THE SPANISH :_lucubShy::_lucubShy: I LOVE LUCASMR !!!! 
40:39 | (New member) *NT$670.00* Nora: Love you!!!
40:53 | (Member (2 months)) Fern🍀: Boss please be kind to me. I’m gonna die. :_lucubShy::_lucubShy::_lucubShy::_lucubShy::_lucubShy::_lucubShy:
40:59 | (Member (2 months)) Kumamaʕ·͡·ʔ: …I loooove chuchu and heart rate :_lucubShy::_lucubShy:
40:59 | (Member (1 month)) 法魯_Kay: :_lucubHeart::_lucubHeart::_lucubHeart:
41:02 | (Member (2 months)) IamCarlen: The Kaneshiro Family in one ASMR TSKR:_lucubComfy::_lucubComfy::_lucubComfy:
41:12 | (Member (1 month)) *ARS 1,000.00* 布恰C🥞ButcherC: thanks boss thank you thank you:_lucubShy::_lucubShy::_lucubShy:my hands are trembling□
41:22 | (Member (1 month)) *NT$170.00* Suwei
41:26 | (Member (1 month)) Himawari
41:33 | (Member (2 months)) 蕃茄咖哩tomato_curry: hi Boss I bought all your new voice pack~ I Looove your Japanese ver!! so cuteeee and so fluently~~~ did someone help you JP pronounce?
41:34 | (New member) *$19.99* Kikiking: Omg 
41:39 | (Member (2 months)) *₱250.00* Zloren: Boss to speak formally to you (ISTG I'M NOT DEADGING RN)...may we potentially get a "mahal kita" (i love you) from you and maybe lucy...i think everyone would kindly appreciate this, good sir. 
41:40 | (New member) 泥Niniko
41:46 | (Member (1 month)) *$20.00* Celialialia: TSKR！！I can hear this for a whole night
41:51 | (Member (2 months)) *NT$300.00* Yohko 赤沢葉: YES:flushed_face::flushed_face::flushed_face::flushed_face::flushed_face:
41:56 | (New member) *¥10,000* 桜(Sakura): Lucy I Love you. Marry me …
41:59 | (Member (1 month)) *¥1,000* tongtong: I am actually getting flustered
42:04 | (New member) *NT$75.00* Tansy💫: OMG
42:05 | (Member (2 months)) *¥10,000* pfennig: Your voice is always soft, and with asmr, it becomes even softer, filled with warm feelings. new voice pack TSKR! A Quotes for you :_lucubShy: "The sunlight claps the earth, and the moonbeams kiss the sea: what are all these kissings worth, if thou kiss not me?"
42:06 | (New member) *NT$750.00* nostopstop 🍮: Boss, you can say you're mine. I'm your only man. Don't ever leave me.:pleading_face:
42:08 | *¥1,000* TT 🐾: TSKR!!!!Lucaaaaaaa:loudly_crying_face:love you,thank you,babe,you make me feel so relaxed:smiling_face_with_hearts:
42:08 | (Member (2 months)) *$9.99* Brisa ඞ: The heartbeat that warms us all thank you boss tskr
42:22 | (Member (2 months)) *$4.99* HONAMI_22: tskr !love it! chuchu
42:27 | (Member (1 month)) *MYR 30.00* mel_mericano: Heartbeat tskr :_lucubHeart: it's now my favorite sound
42:30 | (New member) *NT$150.00* 琄yu chuan: Thank you TSKR!!!
42:46 | (New member) Estelle Kaneshio
42:48 | (Member (2 months)) ZOUZZZA
42:52 | (New member) *HK$50.00* 🌙Wenkey_7💛: Boss, my ears say tskr:folded_hands::smiling_face_with_halo: laughter もっともっと PLZ
43:11 | (Member (2 months)) Alzwei: I was sick for 2 weeks, but this ASMR just healed me:_lucubPOG1::_lucubPOG2::_lucubPOG3:
43:16 | (Member (2 months)) *A$5.00* Miratriss: Thank you for putting so much effort into this Boss. TSKRRR
43:16 | (Member (2 months)) *NT$670.00* Amanda Lo: Love u soooo much:pleading_face::yellow_heart::yellow_heart::yellow_heart: Your ASMR is AMAZING!!!!!
43:23 | (Member (1 month)) *HK$788.00* Momo Tao: TSKR!!!! Love you soooooooo much Luca!!!!:yellow_heart::yellow_heart::yellow_heart::yellow_heart:
43:27 | (New member) *€20.00* 泥Niniko: POOOOOOOG
43:34 | (New member) *¥610* リナ: 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
43:52 | (New member) *HK$52.00* 耶贺Yega: :_lucubShy::_lucubShy::_lucubShy:
43:55 | (Member (2 months)) *NT$750.00* 染子Someko: Boss can you call me Someko chan again？:pleading_face::folded_hands::yellow_heart::sweat_droplets:
43:58 | (Member (2 months)) *NT$150.00* MaoLin: YSKR BOSS OMGGGG:_lucubBooba::_lucubBooba::_lucubBooba:
43:59 | (New member) *IDR 100,000.00* Artemis: can you say “aku sayang kamu” ( “i love you” in indo! ) for us? :_lucubShy: tskr
43:59 | (Member (2 months)) *HK$50.00* Donut Sugar: Can u say OHAYOU to us
