-4:37 | (Member (6 months)) OkTank
38:19 | (Member (6 months)) *¥500* ryusei2u: 新衣装おめでとう!　かわいい! 
38:20 | *$5.00* Resting Glitch Face: And then Petra was never called a kid's channel again.
38:22 | *$5.00* MottledAbyss: Bread/10
38:24 | *¥2,440* なにやら: 新衣装すっっごく素敵です！！！！！:smiling_face_with_hearts::orange_heart::orange_heart::orange_heart:
38:27 | (Member (6 months)) *₱50.00* Rinto: PETRA GOT BUFFED? 
38:29 | (New member) うさぎぱん [Usagipan]
38:33 | *$5.00* IAD: SSR Petra
38:35 | (Member (6 months)) *NT$1,500.00* オオカミ君
38:40 | (Member (6 months)) *¥1,000* mizt: かわいい
38:41 | *$5.00* FlowerPanda Lena🏆: You look so cute!
38:42 | (Member (2 months)) *MYR 6.00* Emily Millie: :_petoLove::_petoLove::_petoLove:
38:46 | *¥1,220* みぃ*: めちゃくちゃ可愛い(TT)ありがとう……ロングヘアも似合うしアクセサリーもとっても可愛い♡
38:47 | (New member) Han
38:47 | (Verified, New member) XIN- BS
38:49 | (Member (6 months)) *¥10,000* a: 何もかもが良い:_petoPen::_petoSai::_petoLove::_petoLove::_petoLove::_petoLove:
38:51 | *$4.99* Dr_Pibby: :fish:The fish pin is alive!
38:54 | *$5.00* Nice Hat: Super cute new outfit!
38:56 | (Member (6 months)) *$5.00* JeeCee: Guess I'm no longer F2P 100% Worth 
39:00 | *$10.00* flashtirade (A15): Wow I got really lucky with my first ten-pull
39:00 | *¥12,000* なれご: so cute 
39:02 | *¥250* ぺんちゃん: カワイイ チャンネル登録しました
39:02 | (Member (6 months)) *¥500* えりーとTakaso: 新衣装おめでとう:clapping_hands:大人っぽい衣装に子供っぽいペトラの笑顔のギャップがいいね:thumbs_up::sparkles:
39:08 | (Member (6 months)) *$5.00* wildnexus: PETRA GOT BUFFED OH MY GOD I'M ON MY KNEES!!! I'M DIE THANK YOU FOREVER :_petoLove:
39:10 | *$20.00* Majin D: Petra evolved into a beautiful & sexy & gorgeous lady, TSKR Momoco-sensei~ :folded_hands: 
39:11 | (Member (6 months)) *A$5.00* Zhumingz: This looks amazing Petra! Congrats on getting the new outfit! So glad I can contribute to the gacha pull
39:13 | (Member (6 months)) Velvet cake: cool outfit, now show us the bread again
39:18 | (Member (6 months)) LeanBostero: excuse me ma'am my I have some milkies i mean milkies i mean milkies i mean milkies i mean milkies i mean
39:21 | (New member) geneva [ジニーヴァ]
39:26 | (Member (6 months)) *¥10,000* Dai: かわいい！
39:26 | (Member (6 months)) *$4.99* Solid Takezo: So Beautiful!!!
39:27 | (Member (6 months)) *₱50.00* Zeroblade〈ゼロブレイド〉: BARK BARK WOOF WOOF AWOOO i mean cute outfit petra
39:27 | *¥1,000* Red Lobster
39:28 | *¥500* カノン: ペトラちゃん新衣装おめでとう！！！ 全体的にもこもこしてて可愛いし大人っぽさがグッと増しててすごく好き……！！ ペトラちゃんのロングヘアー最高すぎる
39:29 | (Member (6 months)) *$100.00* Steve Mahar: I love your new model! Especially the hat!!! Congrats!!!!!!
39:30 | (Member (2 months)) *$50.00* dguo94 (ダニエルP): BEST PAID GACHA IVE EVER SPENT ON. TSKR
39:31 | (Member (6 months)) *¥1,000* ゆうだち: 新衣装おめでとう！可愛い！
39:35 | *¥1,220* ちくわぶ。: とってもとっても可愛いです！！！可愛すぎて感謝します:loudly_crying_face::clapping_hands::clapping_hands::clapping_hands:
39:36 | *¥610* レイン: 新衣装お披露目おめでとう:white_exclamation_mark: とっても可愛いです（ ; ; ）♡
39:40 | (Member (6 months)) 林友信: We have a SO CUTEEE SSR Petra:_petoSwaggy::_petoLove::_petoLove:！新衣装おめでとう:_petoCheer::_petoCheer::_petoCheer:
39:40 | *NT$300.00* J Z
39:54 | *¥1,000* tongpooとんぷー
39:55 | *$10.00* Emperesque: CONGRATS ON THE NEW OUTFIT, THE BREAD IMPLANTS LOOKS GREAT WOOOO
