-0:06 | (Member (6 months)) Dice🎲
14:57 | (Member (6 months)) Ewiwa's Pineー松本ーTree [#213]: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
15:16 | (New member) 關關Debby: Gifted 50 Enna Alouette【NIJISANJI EN】 memberships
15:30 | (Member (6 months)) lamya: Gifted 5 Enna Alouette【NIJISANJI EN】 memberships
15:37 | (Member (6 months)) Yu Ui Corle【ユ ウイ コリ】: 風！:_EnnaBonk::_EnnaAloulove::_EnnaBonk:
16:18 | (Member (2 months)) SaffyAce: Bless her singing. I'm in heaven 
16:40 | (Member (6 months)) Rhea Yeh: :_EnnaBonk::_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaTskr::_EnnaLight:
16:52 | (Member (2 months)) むー: Enna’s 神っぱいな:_EnnaTskr::loudly_crying_face:
16:57 | (Member (2 months)) D3athstrike: LFG:_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaBonk::_EnnaAloulove::_EnnaLight:
17:05 | (Member (2 months)) The King of Trash: Love Enna’s singing 
17:08 | (Member (6 months)) Majin D: tskr :folded_hands: :smiling_face_with_halo:
17:27 | (Member (2 months)) nori22: ENNA神っぽいな:purple_heart:
17:55 | (Member (2 months)) Ivy Huang: I think miss enna alouette might actually just be god.
18:03 | (New member) Ichannn
18:10 | (Member (6 months)) bignanime: THERE YOU GO!
18:18 | (New member) sundae
18:29 | (Member (6 months)) Breikah: Godsend.
18:30 | (New member) Ivan Wong
18:31 | (Member (1 month)) YANG🐑👹
18:31 | (New member) Erik Torbjorn
18:32 | (Member (6 months)) Daru: Gifted 10 Enna Alouette【NIJISANJI EN】 memberships
18:36 | (Member (6 months)) Thinkinguwu: You're amazing :_EnnaFlushge:
18:39 | (Member (6 months)) Clovenski: That was amazing! :_EnnaAloulove: TSKR
18:53 | (New member) RICKY
19:02 | (Member (6 months)) Gyūdon: WOOOOOOOOOOOOO!!!!!!
19:03 | (Member (1 month)) Akira xu: TSKR！！！Yeah！！！！Lez goooo！
19:09 | (Member (6 months)) Brendan: MY GOD ENNA.
19:10 | (Member (2 months)) Kesle
19:11 | (Member (6 months)) Rue Rua: THAT WAS SPECTACULOUS AND MAGNIFICENT OMG THANK YOU 
19:13 | (Member (2 months)) 南桥Nanxiii: Gifted 5 Enna Alouette【NIJISANJI EN】 memberships
19:26 | (Member (6 months)) cas: Gifted 10 Enna Alouette【NIJISANJI EN】 memberships
19:27 | (New member) 俺日本語本当上手
19:54 | (Member (2 months)) Nitsuamahp: Wow even my throat hurts after that one
19:57 | (New member) U
20:03 | (Member (2 months)) march
21:01 | (New member) Laura
24:08 | (Member (2 months)) Leah W: Gifted 50 Enna Alouette【NIJISANJI EN】 memberships
24:59 | (Member (2 months)) Kanina: TRULY A SONGBIRD:_EnnaAloulove::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
25:36 | (Member (2 months)) Yumiʕ •ᴥ•ʔ: Gifted 5 Enna Alouette【NIJISANJI EN】 memberships
25:41 | (New member) 關關Debby: Gifted 50 Enna Alouette【NIJISANJI EN】 memberships
26:00 | (Member (1 month)) Nishiki Rin [西木 麟]: Gifted 5 Enna Alouette【NIJISANJI EN】 memberships
27:03 | (Member (6 months)) Box: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
27:27 | (Member (1 month)) Genki Jii-san: Gifted 5 Enna Alouette【NIJISANJI EN】 memberships
27:49 | (New member) 丹: Gifted 5 Enna Alouette【NIJISANJI EN】 memberships
28:05 | (New member) UC
28:23 | (New member) UC: Gifted 50 Enna Alouette【NIJISANJI EN】 memberships
28:29 | (New member) 珈琲好き
29:01 | (New member) ぽりたん
29:15 | (New member) Moca
29:29 | (New member) neco mulasaki
29:30 | (Member (2 months)) Kira Wang: you are my goddess:_EnnaAloulove::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
30:29 | (Member (2 months)) OZ
30:47 | (New member) KEN
30:57 | (Member (2 months)) OZ: Gifted 10 Enna Alouette【NIJISANJI EN】 memberships
31:04 | (New member) ash
31:41 | (New member) Casey
