Timestamp,Name,Comment,Language
1:05:17,| Aiko Fuji, :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:,en
24:09,| starr.m0ment, :blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:,en
33:56,| (New member) Belladonna, This is all over LOLOL,en
2:05:14,| (New member) ASNOTH, take our love:_hexBonk:,en
3:30:30,| (Member (6 months)) mistyann, I CANT BREATHE HELPPPPP,en
5:15:04,| col, i THINK winx is italian? i think,en
3:33:03,| Lin L, THANK YOU EN!!!!!!!,en
24:55,| kenken Tomato, :purple_heart::purple_heart::purple_heart::purple_heart:,en
28:38,| Rayfelle, keyboard sounds would be nice ,en
1:24:02,| (New member) Bakura Senpaii, :purple_heart::purple_heart::purple_heart:,en
1:50:02,| (Member (2 months)) Yuciel, Toxic:_ShuWorship::_ShuWorship::_ShuWorship::_ShuWorship::_ShuWorship:,en
7:20,| mikoshiba, :purple_heart::purple_heart::purple_heart::purple_heart:,en
3:19,| Sharon, :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:,en
27:29,| (Member (2 months)) Rina NomNom, peach,en
1:25:28,| ITZ • AMARA'S • WLRD, THE BREAD HAS JIGGLE PHYSICS ,en
1:12:27,| Darla Bubbles , need some light,en
2:11:35,| Fererero, :orange_heart::purple_heart::orange_heart::purple_heart::orange_heart::purple_heart::orange_heart::purple_heart::orange_heart::purple_heart::orange_heart::purple_heart:,en
44:58,| み。, :yellow_heart::yellow_heart::sparkles:,en
48:36,| kristel 🐮, who knew bread could do that,en
34:16,| Gabe, lmao the bully three lol,en
1:58:02,| Canaria ⚡, This is so ticklish I can’t listen well HAHAHA,en
39:52,| (Member (2 months)) Rona_desu, LMAO BREAK IT!?,en
5:48,| (Member (2 months)) Multi Cat Bear, Been looking forward to this all week:_YuQSmug::_YuQSmug:,en
4:07:24,| 🃏Lathyrus🔪, he's calling us bad friends????,en
3:01:05,| FH_Mio, that's why IRL streamers mute themselves often. only visuals,en
56:23,| ZoeytHeDoubleTrouble ;-;, it looks great!!!:orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:,en
1:52,| (New member) Son Pham, :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::penguin::penguin::penguin::penguin::penguin:,en
4:56:20,| teddy, BYE BYE :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:,en
1:20:40,| (New member) Rin, :_ShuRec::_ShuRec:,en
1:09:55,| Summer2shura, depends if u read a low,en
3:11:15,| (New member) Rua Olivier, The tsundere jump out ,en
4:10:53,| Jenni, mine was mandatory but my social anxiety still bad,en
53:19,| jazz, Aww bye captain:blue_heart:,en
1:17:55,| (New member) Nai !!," Are you a himbo, Ren? Have you took the Himbo test?",en
24:24,| (Member (6 months)) Jojora, :_roseLaugh::_roseLaugh::_roseLaugh:,en
1:25:54,| major31miracle, LIVE OIN STREAM ,en
13:36,| sen, :clapping_hands: :clapping_hands: :clapping_hands: :clapping_hands:,en
1:57:16,| ShadowedReaper, We love you to:green_heart:,en
4:53:04,| Aeri 🗡️, its okayy now,en
1:54:01,| Shadowwolf, :face_with_tears_of_joy::face_with_tears_of_joy:,en
1:54:48,| Azu Tsubahime, I HAVE TO SLEEP BYE SHUUU BYE CHATT,en
41:04,| (New member) Aldaaa, TSKR YOUR HEART BEAT,en
