0:25 | (Member (2 months)) {Ashley}👟☯️: :_lucubHeart::_lucubHeart::_lucubHeart:
0:25 | 1e Whisper: :yellow_heart::yellow_heart::yellow_heart::yellow_heart:
0:25 | Rimeny_: Bossssss
0:25 | (Member (2 months)) nabi🦋: :_lucubHeart::_lucubHeart::_lucubHeart:
0:25 | (New member) amelie圈圈: :_lucubHeart::_lucubHeart::_lucubHeart:
0:25 | (New member) Lily Vrealkr: :_lucubPOG1::_lucubPOG2::_lucubPOG3:
0:26 | Hannah: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
0:26 | hugo 🦄: cu
0:26 | (New member) wanderbread: :_lucubHeart::_lucubHeart::_lucubHeart:
0:26 | (New member) Aloedia Enriquez: :_lucubHeart::_lucubHeart::_lucubHeart:
0:26 | (Member (2 months)) Kiri: HI BOSS
0:26 | 汪汪: ! !pogggggggg
0:26 | (Member (2 months)) Maruko ·まるこ: Hello lucaaaaaaa
0:26 | ° lowa! °: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
0:27 | Tanith: WOOO
0:27 | moon: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
0:27 | (New member) Shelly K.: Lets goooooooooo
0:27 | (New member) Kany: hi boss!!!!
0:27 | Martha Nekofaru: Hello Boss! Nice to see you!
0:27 | (Member (2 months)) Vann ✨🌙: :_lucubHeart::_lucubHeart::_lucubHeart:
0:27 | coral: why are y'all telling ppl not to speak their language :red_question_mark:.......
0:27 | (Member (2 months)) Muu Hua: :_lucubHeart::_lucubHeart::_lucubHeart:
0:27 | (New member) Kyra: :_lucubPOG1::_lucubPOG2::_lucubPOG3:
0:27 | Pinkkies: POOOGGG
0:27 | Angelina: Hi boss
0:27 | (Member (2 months)) Zloren: IT'S HAPPENING LETSGOOOOOOOOOOOO
0:27 | (New member) 8bit: HI SWEETIE:_lucubHeart:
0:27 | (Member (2 months)) Nikki: :_lucubHeart::_lucubHeart::_lucubHeart:
0:27 | 鯊魚‧ONI: BOSS
0:28 | 太子殿下: OH GOD
0:28 | (Member (1 month)) 辞や_shiya: :_lucubHeart::_lucubHeart::_lucubHeart:
