0:21 | Sora: cute opening
0:21 | Butterflyy: IKZZZ
0:21 | Mikey: IKZZ
0:21 | kumoko🌦️: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:21 | Maevily Nya: IKZZZZZZZZZZ
0:21 | Agamar: IKZ!!!!!
0:21 | sami 🔮🐣: AWEEE
0:21 | MEL🕊️: IKZZZZ
0:21 | SergeantPaul: LETS GO ENNA
0:21 | (Member (2 months)) Nori.: LETS GOOOOOOOO
0:21 | raye: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:21 | kuleyyyyyy: goooooooooooooooooooooooooo
0:21 | (Member (1 month)) Yuu: IKZZZZZ
0:21 | Evan: Let's goooooooooo
0:21 | いちごミルク: IKZ:double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark:
0:22 | るい: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:22 | rizki20: ikz
0:22 | gyoukokun: Let’s go Enna!!!!!!!
0:22 | Hanh Nguyen Doan: IKZ
0:22 | YØSHIKI: IKZ
0:22 | Fon Fon: LETS GOOOOOOOOOOOOOO
0:22 | fox mom's butler: MISSS SONGBIRD LETSS GOOOOOO
0:22 | burushou: IKZZZZZZZ
0:22 | Gheto knight: okay I made it early this time
0:22 | nene: IKZZZ
0:22 | 謝姿jiji :0: ENNA LETS GOOOOOOOOOOO
0:22 | Ririan: let's gooooo!!!!!!!!
0:22 | shadeshift: lets gooooo
0:22 | ラズゥ: さあbird
0:22 | (Member (2 months)) Finest_Coly: :_EnnaTete::_EnnaTete::_EnnaTete:
0:23 | cele: LETS GOOO
0:23 | (Member (6 months)) Lashe W(ister): IIKKZZZZ ENNA LETS GOOOO
0:23 | Crowgre: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:23 | Như Quỳnh: LETSGOOOOOOOOO
0:23 | (New member) Chiharu: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:23 | Nyamo Nyan: IKZ!
0:23 | ぱにーに: IKZZZZZZ
0:23 | ૮꒰ ୨୧ little lamb..୨୧ ꒱ა: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:23 | (New member) Haseo: :_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaLight::_EnnaLight::_EnnaLight:
0:23 | (Member (6 months)) Nivayu: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:23 | dimple: IKKZZZZ 
0:23 | (Member (1 month)) Tming🦦: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:23 | Lia: :purple_heart::purple_heart::purple_heart:
0:23 | Sweaty Gamer: Lets go Enna
0:23 | 斧頭: ikz
0:23 | ChaCha: LETS GOOOO
0:23 | Kaimine08: We're Raiding!
0:24 | trizziebee: LETS GOO ENNAAA
0:24 | (Member (6 months)) Lindsay: :_EnnaScare::_EnnaScare::_EnnaScare:
0:24 | tofu mofu: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:24 | Julyus: AWWW
0:24 | セメントの森: Let’s goooooooo
0:24 | Charles Huang: Let's Goooooooooo
0:24 | Miu Min: :purple_heart::blue_heart::purple_heart::blue_heart::purple_heart::blue_heart::purple_heart:
0:24 | (Member (6 months)) Golf popo: IKZZZZZZZZZZ
0:24 | (Member (6 months)) DoJ: :_EnnaTete::_EnnaTete::_EnnaTete:
0:24 | RazzyDazzys - Female Fanbase: ENNA TIME
0:24 | くんしあわせ: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:24 | Red Panda: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:24 | (Member (1 month)) AvidBiter: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:24 | Rain🌧️: letsagoooo
0:24 | amie: :dove::dove::dove:
0:24 | lyssa38🌈: WOOOOOOOOOO LEZ GOOOOOOOOO
0:24 | (Member (6 months)) Nyake: :_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaGgg::_EnnaOoo::_EnnaOoo::_EnnaOoo::_EnnaOoo::_EnnaOoo:
0:24 | Hrotriks: lets go Enna !!!!!
0:24 | (Member (1 month)) Mcvaca: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:25 | Bedi Vere: LEEEEZZZZ GOOOOOO!!!!
0:25 | Sabrina: LMAOOOOOO
0:25 | (Verified, Moderator, Member (6 months)) Millie Parfait【NIJISANJI EN】: ARE YOU EDITING THSI RN
0:25 | Massimo😵‍💫: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:25 | Norin mori: It’s
0:25 | Sora: lets go
0:25 | 星塵: Ikzzz 
0:25 | Watermelon Realm: IKZZZZZZ
0:25 | rosesunny: :blue_heart::purple_heart::blue_heart::purple_heart::blue_heart:
0:25 | Gabriel🌙☯️: Let’s gooooooo
0:25 | (Member (2 months)) Yumiʕ •ᴥ•ʔ: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:25 | doris: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:25 | nine: IKZ
0:26 | Cider: :blue_heart::purple_heart::blue_heart::purple_heart::blue_heart:
0:26 | mai: llllllllllllllll..llllll
0:26 | 神坂るーの: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:26 | lily apapaya-: IKZ ENNA!:heart_decoration::heart_decoration::heart_decoration::heart_decoration:
0:26 | yuen: YOU CAN DO ITTTTTTTTTTTT
0:26 | Gura-san : :blue_heart::purple_heart::blue_heart::purple_heart::blue_heart::blue_heart:
0:26 | antares: LETS GO ENNAAAA
0:26 | Hamma: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:26 | loxa55687: ennaaaaaaaaa
0:26 | Ha rumi: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:26 | arci.: woohooooooo
0:26 | (Member (2 months)) Wind: :_EnnaWave::_EnnaWave::_EnnaWave:
0:26 | ChimkenSomnusIII: IKZ IKZ IKZ
0:26 | Jamielee: :purple_heart::purple_heart::purple_heart:
