0:31 | Echo 7383: :purple_heart::yellow_heart::blue_heart:
0:31 | SearingWrath: CAW CAW
0:31 | imdoggod: Helloo
0:31 | Raniag: CAW CAWWWWW
0:31 | YAMA YOY: caw caw
0:31 | 🥭 mae カネシロ 🐇: CAW CAW
0:32 | •Mango-Harmony• 💜♈️: LEZZZ GOO 
0:32 | 🦋 l e x i 🦋: IKZ :purple_heart::blue_heart::yellow_heart:
0:32 | 𓆩𝐑𝐈𝐕𝐊𝐀⚜️𝐂𝐑𝐎♛𝐍𓆪: CAW CAW
0:33 | marshmallow kitty: :purple_heart::blue_heart::yellow_heart:
0:33 | Betty Potato: CAWCAW:purple_heart::blue_heart::yellow_heart:
0:33 | Pistachio Pancake: :man_dancing::man_dancing::man_dancing::woman_dancing::woman_dancing::woman_dancing:
0:33 | Blye: CAW CAWWW :purple_heart::blue_heart::yellow_heart:
0:33 | NiKeTyronshi: ITS STARTING
0:33 | Shadowwolf: :purple_heart::blue_heart::yellow_heart:
0:34 | ☆.-Nico-.☆: CAW :eagle::eagle::eagle:
0:34 | Rubio Bipolar: :hand-pink-waving::hand-pink-waving::hand-pink-waving:
0:34 | Solu: WOOOO
0:34 | Kova: Hii
0:34 | Niume.i 🕊️🃏: IKZZZ :purple_heart::blue_heart::yellow_heart:
0:34 | Shadowcat 🔅: LETS GOOOOOOOOOO
0:34 | kage: :purple_heart::purple_heart::purple_heart:
0:35 | Rose: HI VANTA!!:blue_heart::purple_heart::yellow_heart:
0:35 | Rusty Bishop: CAW CAW:purple_heart::blue_heart::yellow_heart:
0:35 | yourens: CAWCAW:purple_heart::purple_heart::purple_heart:
0:35 | Jeanie: Caw Caw
0:35 | OKAYkatieOKAY: LETS GOOOOOOOO
0:35 | clearbubble: :purple_heart::blue_heart::yellow_heart:
0:35 | Lurking Puppy: :purple_heart::blue_heart::yellow_heart:
0:35 | yuu !! ★: CAW CAW
0:35 | Zemaislost: CAW CAW :blue_heart::purple_heart::yellow_heart:
0:36 | miu.: CAW CAW
0:36 | uzuki: CAW CAW
0:36 | zirabox: CAW CAW :purple_heart::blue_heart::yellow_heart:
0:36 | Reyna 💉🧻: CAW CAW
0:36 | Dizzy: :purple_heart::blue_heart::yellow_heart:
0:37 | JJ💚: Hiiiii
0:37 | Sunny: :purple_heart::blue_heart::yellow_heart:
0:37 | jvyvnr_: CAW CAW:purple_heart::blue_heart::yellow_heart:
0:38 | 海 (umi): Caw CAWW :purple_heart::blue_heart::yellow_heart:
0:38 | Liz was a Kyomie: CAW CAW:purple_heart::blue_heart::yellow_heart:
0:38 | J. L.: CAW CAW :purple_heart::blue_heart::yellow_heart:
0:38 | Mayrin Peredia: CAW CAW CAW CAW :purple_heart::blue_heart::yellow_heart:
0:38 | Dana: IKZ!
0:39 | Aino: LETS GOOOOO
0:39 | Mari(nette): :blue_heart::purple_heart::yellow_heart::blue_heart::purple_heart::yellow_heart:
0:39 | Squasha69: :purple_heart::blue_heart::yellow_heart:
0:39 | ezzie: :purple_heart::blue_heart::yellow_heart:
0:39 | MoondewMoth: :blue_heart::purple_heart::yellow_heart:
0:39 | thewildmonarch: CAW CAW IKZ
0:39 | Purin-Crumbs: CAW CAWWW :purple_heart::blue_heart::yellow_heart:
0:39 | Melomoriz: :blue_heart::purple_heart::yellow_heart:
0:39 | RowJ: :purple_heart::blue_heart::yellow_heart:
0:39 | Lurking Puppy: :purple_heart::blue_heart::yellow_heart:
0:40 | shureii•🍆🚩: eeyyy
0:40 | jellykenz: WE ARE SOOO BACK
0:40 | OKAYkatieOKAY: CAW CAWWWW
0:40 | seakeyk: :purple_heart::blue_heart::yellow_heart:
0:40 | yewy: CAW CAW:purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:40 | Sifera: CAW CAW
0:41 | SearingWrath: CAW CAW:purple_heart:🩵:yellow_heart:
0:41 | Blye: CAW CAWWW :purple_heart::blue_heart::yellow_heart:
0:41 | Edgarven18: CAW CAW :purple_heart::yellow_heart::blue_heart:
0:41 | Anonymous Hippo: CAW CAW :purple_heart::yellow_heart::blue_heart:
0:41 | Pankae: their first Collab 🥹:selfie::purple_heart::blue_heart::yellow_heart:they grow up so fast :loudly_crying_face:
0:41 | soup soup: CAWCAW
0:42 | Jiajia(leah): CAW CAW:purple_heart::blue_heart::yellow_heart:
0:42 | Kevin: :purple_heart::blue_heart::yellow_heart:
0:42 | (jay)egg: :blue_heart::purple_heart::yellow_heart:
0:42 | Nep♡: CAW CAW:purple_heart::blue_heart::yellow_heart:
0:42 | Wei Lin QuQ: :purple_heart::yellow_heart::blue_heart:
0:43 | Kyung:  CAW CAW 
0:43 | Kiwi 🥝: lets gooooo
0:43 | •Mango-Harmony• 💜♈️: CAW CAW :purple_heart::blue_heart::yellow_heart:
0:43 | sleepy_zyx: :purple_heart::blue_heart::yellow_heart:
0:44 | 💋Aether unknown💅: CAW CAW :purple_heart::blue_heart::yellow_heart:
0:44 | Blye: CAW CAWWW :purple_heart::blue_heart::yellow_heart:
0:44 | No-san: CAW CAW
0:44 | Niume.i 🕊️🃏: :purple_heart::blue_heart::yellow_heart:
0:45 | kage: RAAAAAA
0:45 | Deboninha: :purple_heart::blue_heart::yellow_heart:
0:45 | icey_nev🃏🖋: CAW CAWWW
0:45 | Leaa :3: caw caw :yellow_heart::blue_heart::purple_heart:
0:45 | Shinoo: CAWCAW :purple_heart::blue_heart::yellow_heart:
0:46 | wink: micarft
0:46 | wonie: CAW CAW
0:46 | Soruu: CAW CAW
0:46 | 桜: CAW :purple_heart::blue_heart::yellow_heart:
0:46 | IttoHaver: love the bgm:cat-orange-whistling::face-red-heart-shape:
0:46 | Meutiny: :purple_heart::blue_heart::yellow_heart:
0:46 | Appetizer : AYYYY
0:47 | EyWhoえふ: Caw caw
0:47 | Sumi 🐾: :purple_heart::blue_heart::yellow_heart:
0:47 | luvitory: CAWWW
0:47 | Cyii: ITS GO TIME CAW CAW 
0:48 | 《 Leentoshi 》リーントシ: CAW CAW :purple_heart::blue_heart::yellow_heart:
