2:02 | Saint: Hello Melo :purple_heart:
2:02 | (Member (6 months)) 龙 L: :_Hot::_Hot::_Hot:
2:03 | (Member (6 months)) 【だにき】さいこけいしとう: 対戦よろしくお願いします
2:03 | (Member (2 months)) ピーポ: :_Love::_Love::_Love:melo!
2:03 | Chloe Li: :purple_heart::purple_heart::purple_heart:
2:04 | (Member (6 months)) zipli: :_Love::_Love::_Love:
2:05 | (Member (6 months)) RiSU: hi melooo:_Hot::_Hot::_Hot:
2:05 | Zoe : hellloooo meloo~~
2:06 | (Member (2 months)) RUI: :_Love::_Love::_Love:
2:06 | (Member (2 months)) Maldade01: MY QUEEN :_Hot::_Hot::_Hot:
2:06 | (Member (6 months)) わーたん: こんばんは
2:06 | (Member (6 months)) joolz: :_Hot:
2:06 | Deadzipper: Hello!:face-red-heart-shape:
2:06 | Res.[りす]: Hi Melo 
2:08 | ここぬ: メロコ様こんばんは！
2:08 | (Member (6 months)) mayu salty: :_Worship::_Worship:
2:09 | (Member (2 months)) Aelderflower(Petal) : hello Melo:_Love:
2:10 | (Member (6 months)) NotoriousBSG82: Hey Melo :_Love::_Love:
2:11 | Chloe Li: hi
2:11 | (New member) MaskFace29: Hi Melo:_Love::_Love::_Love:
2:12 | Jeremy: hi
2:12 | (Member (2 months)) KatsuSando: :_Love::_Love::_Love:
2:12 | gimi: hii
2:12 | (Member (2 months)) Klay leonard(クレイレナード): こんばんは:_Love:
2:13 | HOT RANDOM ELIRA'S FOREVER CAKE NOISES: Hello Meloco
2:13 | Go eR: HEllow
2:14 | (Member (6 months)) AKM: [JP]ねえ、こんばんは～
2:14 | たこす: hiiii
2:14 | Ruba: Hello Meloo!
2:15 | 狐福【Kofuku】: こんばんは！
2:15 | (Member (6 months)) REN5ご: :_Hot::_Hot::_Hot:
2:16 | Tvanon: hi meloo
2:16 | Chloe Li: :purple_heart::purple_heart::purple_heart:
2:17 | midori: Hi melo~~~
2:17 | (Member (1 month)) Choco: hewwo Melo:_Love::_Love:
2:19 | (Member (6 months)) RiSU: omgggg
2:19 | (Member (2 months)) ピーポ: :_Surprised::_Surprised::_Surprised:
2:19 | (Member (2 months)) 田中権蔵: :_Love::_Love::_Love:
2:19 | (Member (6 months)) Amu: :_Surprised:kya
2:20 | (Member (6 months)) WDSoul: Ayo:_Surprised:
2:22 | (Member (6 months)) 斐羽 FEI YU: Hi Melo:_Love::_Hot::_Hot:
2:22 | (Member (2 months)) 昀李Cloud Lee: HI MElooooo:_Love::_Love:
2:22 | (Member (2 months)) ばいにくBainiku: あああああ:_Worship:
2:23 | (Member (6 months)) スキマラム: :_Love::_Love::_Love:
2:23 | (Member (6 months)) RiSU: :_TSKR::_TSKR:
2:24 | Reynaldi Ferliez Sullivan: Meloco
2:24 | ZeR0W1: Hey Meloco
2:25 | (Member (2 months)) Maldade01:  :_Hot::_Hot::_Hot:
2:25 | onyx moon: Hi, Melo. :purple_heart:
2:25 | (Member (1 month)) おすし: Hi meloco:_Hot:
2:26 | (Member (6 months)) Evan: :_Surprised::_Surprised::_Surprised:
2:26 | (New member) MaskFace29: :_Hot::_Hot::_Hot::_Hot:
2:27 | James (The Shadow Of The Mafia Boss): hhhh hello onee sama:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
2:29 | Saint: :eyes:
2:30 | (Member (2 months)) ピーポ: :_Surprised::_Hot::_Surprised:
2:31 | midori: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
2:33 | takano iwasaki: I LOVE DO Onne-san
2:33 | LOvanDarK: Hi Melo ^_^ Hi chat ^_^
2:34 | (Member (6 months)) AKM: [JP]いつもよりもリラックスして配信出来るとおもうわ
2:34 | (Member (6 months)) Amu: :_Hot::_Hot:dont fall asleep on stream melo
2:38 | (Member (6 months)) 龙 L: :_Surprised::_Hot::_Hot:
2:38 | (Member (6 months)) Zuppin’: ohhh:_TSKR::_TSKR::_TSKR:
2:39 | stillreddd: hope you're relaxed
2:40 | Justina💫: hello
2:41 | (Member (6 months)) Hacchi: :purple_heart::purple_heart::purple_heart:
2:41 | (Member (2 months)) Jessica. Only child. Illinois, Chicago.: Been waiting for another asmr!
2:43 | (Member (6 months)) Amu: :_Surprised::_Surprised::_Love:
2:44 | (Member (6 months)) 斐羽 FEI YU: :_Surprised:
2:44 | Stardrifter: Hi Melo!
2:47 | (Member (2 months)) KatsuSando: nyaaan
2:47 | stillreddd: mhm mhm
2:49 | (Member (6 months)) WDSoul: Neko:_Hot:
2:49 | (Member (6 months)) 龙 L: :_Hot::_Hot::_Hot::_Hot:
2:50 | (Member (6 months)) AKM: [JP]見えるように、今日はくだけた服装になってるんだけど、
2:51 | (Member (6 months)) Amu: melonya?:_Hot:
2:51 | Math Monium: hi Melo
2:52 | (Member (2 months)) ばいにくBainiku: にゃー
2:52 | James (The Shadow Of The Mafia Boss): it's lovely
2:53 | HOT RANDOM ELIRA'S FOREVER CAKE NOISES: Melonya
2:53 | m4rk: perfect timing melo, its raining this evening and your doing ur asmr :red_heart: :red_heart: 
2:53 | (Member (1 month)) ミックス: メロにゃん！
2:53 | (Member (6 months)) Evan: Melonya ASMR:_Love:
2:53 | (Member (6 months)) R-Yong: :_Hot::_Hot::_Hot:
2:54 | Hunoa-ふのあ: You're cute in them,they fit you :face_with_tongue: 
2:54 | (Member (2 months)) Maldade01: :_Surprised::_Surprised::_Surprised:
2:55 | L Z: Kyaaa
2:56 | (Member (1 month)) おすし: melonya:_Headpad::_Headpad:
2:56 | mamechiyo9: 関西弁ASMRはないのか？
2:56 | (Member (6 months)) Amu: hiiiii melonya:_Love::_Love:
2:56 | (Member (6 months)) おちゃんこ: :cat2:
2:57 | Naltyr: nya~
2:57 | (Member (6 months)) RiSU: :_Headpad::_Headpad:
2:58 | (Member (2 months)) Aelderflower(Petal) : melonyaaa:_TSKR::_TSKR:
2:59 | celine lin: :purple_heart::purple_heart::purple_heart:
3:00 | (Member (6 months)) Hacchi: Yes, I can hear it
3:01 | (Member (6 months)) AKM: [JP]あら、聞こえたかしら？　今メロニャが鳴いたの
3:02 | (New member) MaskFace29: :_Love::_Love::_Love:
3:02 | (Member (6 months)) Zuppin’: めろにゃーー
3:05 | 狐福【Kofuku】: melonya〜
3:06 | Hunoa-ふのあ: Melonya here aswell :grinning_face: 
3:07 | (Member (1 month)) Choco: :chillwcat::chillwcat:
3:09 | (Member (6 months)) AKM: [JP]ごめんなさいね、スパチャとかありがとう
3:10 | midori: :cat2:
3:11 | (Member (6 months)) おちゃんこ: :_Hot::_Hot:
3:12 | (Member (6 months)) スキマラム: メロにゃASMRと聞いて:_Surprised:
3:12 | - Soxhyeou -: melonyaa
3:12 | (Member (6 months)) 斐羽 FEI YU: Melonya:_Headpad::_Headpad:
3:13 | L Z: Melonyan
3:13 | (Member (2 months)) Jessica. Only child. Illinois, Chicago.: Melonya is the real asmr all along:_TSKR:
3:21 | (Member (6 months)) 龙 L: okay:_Love:
3:21 | (Member (6 months)) AKM: [JP]スパチャは次回よむからね
3:21 | (Member (2 months)) Maldade01: :_Headpad::_Headpad::_Headpad:
3:22 | (Member (6 months)) WDSoul: Okey:_Headpad:
3:24 | (Member (6 months))  Adobro: oke
3:27 | (Member (1 month)) ミックス: サムネ美しすぎて言葉失った、こんばんは
3:28 | (Member (6 months)) RiSU: :_Headpad::_Headpad:
3:28 | (Member (6 months)) Zuppin’: Quite TSKR
3:29 | (Member (2 months)) ピーポ: :_Headpad::_Headpad::_Headpad:
3:29 | afif: melonyaaa
3:31 | (Member (6 months)) REN5ご: よろしくお願いします……
3:32 | mazinoya: meloo samaa
3:33 | m4rk: do you have some new weapons for this evening?
3:33 | (Member (2 months)) まさはな[Masahana]: それめっちゃ聞きてぇ〜〜〜
3:34 | (Member (2 months)) SinViper: :_Headpad::_Headpad:
3:35 | コトブキ: 癒されてもエエか？
3:38 | 桜花: はい、最高。
3:40 | (Member (6 months)) Zuppin’: :_Headpad::_Headpad:
3:40 | Reynaldi Ferliez Sullivan: :face-red-heart-shape::face-red-heart-shape:
3:44 | (Member (6 months)) Evan: :_Love::_Love::_Love:
3:48 | (Member (2 months)) Maldade01: 9 am here :_Love:
3:49 | (Member (1 month)) ミックス: 2024年あたりにお願いします
3:49 | (Member (6 months)) Amu: :_Love::_Love::_Love:
3:54 | Aden Bishop: Konmelo :purple_heart:
4:02 | (Member (6 months)) Zuppin’: 低めの声やばい:_Copium:
4:03 | m4rk: im watching while playing <3
4:03 | 郭耀暐: こんばんは～素晴らしい声の姉さん
4:05 | Halim Wong: poogg
4:05 | Vally_Vals: tskr:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
4:06 | Reynaldi Ferliez Sullivan: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
4:09 | (Member (6 months)) Zuppin’: Gift pog
4:09 | xvi-Panda: It’s 5am. So good morning to u too
4:09 | m4rk: POG
4:11 | (Member (6 months)) Amu: pog gift
4:11 | yanxi: poooog
4:11 | (Member (6 months)) Evan: Gifted POG
4:11 | (Member (6 months)) 龙 L: pog
4:12 | James (The Shadow Of The Mafia Boss): :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
4:16 | 斎藤: あ、ええ
4:16 | 紅腳: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
4:16 | (Member (2 months)) ピーポ: pog
4:17 | (Member (6 months)) Hacchi: Gifted POG
4:18 | (Member (6 months)) 斐羽 FEI YU: POG
4:19 | Yui: Poog
4:20 | (Member (2 months)) celine lin: gifteds pog
4:29 | (Member (2 months)) KatsuSando: pog
4:29 | IC: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
4:31 | yanxi: gifted pooog
4:32 | (Member (1 month)) おすし: gift pog
4:32 | (Member (6 months)) スキマラム: ありがとう〜:_Love:
4:33 | Victor Jr. Araneta: nice
4:35 | (Member (6 months)) M0m0: :_Worship::_Worship:
4:35 | (Member (6 months)) Amu: im drawing while listening to ur stream now:_Love:
4:37 | (Member (2 months)) ばいにくBainiku: pog
4:37 | (Member (1 month)) Choco: gifted pog:_Love:
4:39 | L Z: My ears are blessed 
4:39 | albeidou: メロちゃん:red_heart:
4:40 | (Member (2 months)) まさはな[Masahana]: pog
4:42 | (New member) wai: im summer bake-shon now!
4:43 | (Member (1 month)) yakiEMO🍠: :_Love:
4:43 | (Member (6 months)) WDSoul: Gifted POG:_Love:
