1:18 | (New member) rain: :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:18 | (Member (1 month)) Shocking Strawberry: So excited!!! :_renHUG::_renHUG::_renHUG:
1:19 | (New member) vooヴ: :_renCHEER::_renCHEER::_renCHEER:
1:19 | (New member) minmin: :_renMOUTH::_renMOUTH::_renMOUTH:
1:19 | Adelia: omomomomomomo
1:20 | (Member (1 month)) Rae Rose: Let's have fun guys!
1:21 | Via Panaligan: yayyyy
1:23 | (New member) Danger: :_renMOUTH::_renMOUTH::_renMOUTH:
1:23 | (New member) CocoBear: :_renCHEER::_renCHEER::_renCHEER:
1:23 | (Member (1 month)) imsleepy: no bgm?
1:23 | (New member) DuskFadedToDawn: :_renCHEER::_renCHEER::_renCHEER:
1:24 | (Member (1 month)) Cinthia 🌙: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:25 | (Member (1 month)) Caramel LaTTae: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:25 | goo.: eyy6
1:25 | (New member) Danger: :_renMOUTH::_renMOUTH::_renMOUTH:
1:25 | III: Aaaaaaaaaahhhhhhhh
1:25 | magoww: oh it's starting
1:25 | (New member) GJ: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:25 | (New member) Jeess: Helloo renren:_renHUG::_renHUG::_renHUG::_renHUG:
1:25 | (Member (1 month)) YuiHaruka🐑: :_renSQUISH::_renSQUISH::_renSQUISH::_renCHEER::_renCHEER::_renCHEER:
1:26 | (Member (1 month)) Vanneko🐱: IKZZZ:_renEVIL::_renEVIL:
1:26 | (Member (1 month)) Space CAT: :_renCHEER::_renCHEER::_renCHEER:
1:26 | (Member (1 month)) Night: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:26 | (New member) yuma_ea: :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:27 | (New member) Deanna:p: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:28 | (New member) minmin: :_renSQUISH::_renSQUISH::_renSQUISH:
1:28 | (Member (1 month)) noina: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:28 | (New member) アラン・アゼアス (Arran Azeas) : :_renCHEER::_renCHEER::_renCHEER:
1:29 | (Member (1 month)) Rayrina _l2ay: Hi chat long time no see
1:29 | (Member (1 month)) charmie: :_renHUG::_renHUG::_renHUG::_renCHEER::_renCHEER:
1:30 | (New member) Danger: :_renMOUTH::_renMOUTH::_renMOUTH:
1:30 | (New member) ~kindred~: *holds hands*
1:31 | UriE_024: ╰(*´︶`*)╯♡
1:32 | (New member) shrub: :_renCHEER::_renCHEER::_renCHEER:
1:32 | (Member (1 month)) Vanneko🐱: GIFTIES POOOG
1:32 | (Member (1 month)) Shocking Strawberry: YES!! GROUP HAND HOLDINGnn
1:33 | (New member) GJ: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:34 | (Member (1 month)) Wani: PLEASE TELL ME IM NOT DREAMING :_renCRY::_renHUG::_renHUG:
1:34 | (Member (1 month)) noina: :_renSQUISH::_renSQUISH::_renSQUISH:
1:35 | Fyfthe: super excited
1:35 | (New member) airo: :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:35 | magoww: ikzzzz
1:35 | (New member) アラン・アゼアス (Arran Azeas) : :_renHUG::_renHUG::_renHUG::_renHUG::_renHUG:
1:36 | (Member (1 month)) いと: :_renCHEER::_renCHEER::_renCHEER:
1:36 | (Member (1 month)) SEINA: :_renCHEER::_renCHEER::_renCHEER:
1:37 | (Member (1 month)) noina: :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:37 | (New member) 8 L: :_renCHEER::_renCHEER::_renCHEER:
1:37 | (Member (1 month)) jehya: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:38 | (Member (1 month)) noomnim: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:38 | (New member) ezzie: oo this gonna do shit to me and i hope one of them is sleep 
1:38 | (New member) AERII: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:38 | (New member) Deanna:p: :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:38 | (Member (1 month)) Wani: RAE POGGG
1:39 | Raniag: MY HEART NEEDS TO LIE DOWN DEMN
1:39 | (New member) minmin: :_renNANI::_renNANI:
1:40 | (New member) CHOCOCCiNO: i just came home in time :_renCRY:
1:40 | (Member (1 month)) noina: :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:41 | (New member) Danger: :_renMOUTH::_renMOUTH::_renMOUTH:
1:42 | OatZey: Let's gooooooooo
1:42 | (Member (1 month)) Kodileo: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:44 | (New member) pien: :_renCHEER::_renCHEER::_renCHEER:
1:44 | (Member (1 month)) Cinthia 🌙: HOLDING HANDS SO HARD HAHA
1:44 | Sugary Paco: doki doki
1:44 | (New member) Lunair: lmao chats is going crazy
1:45 | (Member (1 month)) charmie: IKUZZOOOOOOOOO:_renEVIL::_renEVIL::_renEVIL:
1:45 | (Member (1 month)) ald ˘ ᵜ ˘:  :_renCHEER::_renCHEER::_renCHEER:
1:46 | (New member) cienetics: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
