0:31 | Misty Dream: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:31 | Iseah ツ: IKZZZZZZZZ!!
0:31 | Uba: Hello
0:31 | umbre_cat: ikuzoo
0:31 | iFi_w: IKZZZZ
0:31 | oliviaworld: HEYYYY
0:31 | Jaxx: EY LETS GOOOO :dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:31 | 夜雪ユキ🎀: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:31 | chairkind: i just woke up... half awake gang
0:31 | Sweet_Apple •Gacha•: :dizzy::purple_heart::dizzy::dizzy::purple_heart::purple_heart:
0:31 | PausePlay: this starting soon screen never gets old 
0:32 | b: ASTER BBY
0:32 | Michael -: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:32 | Keiケイ: hewoooo
0:32 | miraneve: WOOOOO LET'S GOOOOOO
0:32 | tsuri 🐟: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:32 | ~𝕋𝕤𝕦𝕜𝕒𝕤𝕒 𝕐𝕦𝕘𝕚~: YESSIR
0:32 | AvieAva: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:32 | Dearest: WOOOO
0:32 | yan ling er: eyyyyyy
0:32 | Milkbread: :purple_heart::purple_heart::purple_heart:
0:32 | Hann Galaxy: :purple_heart::dizzy::onion::purple_heart::dizzy::onion::purple_heart::dizzy::onion::purple_heart::dizzy::onion::purple_heart::dizzy::onion::purple_heart::dizzy::onion:
0:33 | hmmmmmmmmmmmm: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:33 | kelp: HEYYYYYY
0:33 | Shiry: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:33 | 「blue berry」: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::onion::onion::onion::onion::onion:
0:33 | isa !: ASTERRR
0:33 | Alex Me: 8
0:33 | LunaPuna: IKZZZZZZZZZZZZZZZ
0:34 | Sarah: HELLO ASTERRRRR
0:34 | Chris Tileyz: :dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:34 | 凌洛ing: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:34 | Aaron: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:34 | roses: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:34 | Hvshk: And suddenly all the onions disappeared
0:34 | Dan Killian: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:34 | Kiyah😋: ALR HARU
0:34 | soofls ୨୧: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:34 | Alicee: Aaaa Let's goooo :purple_heart::glowing_star::purple_heart::glowing_star::purple_heart::glowing_star::purple_heart::glowing_star:
0:34 | Marjorie Anne Flavier: MORNING EVERYONE!!!
0:34 | めい: Aster !!!!!!!! hello !:purple_heart::dizzy::purple_heart::dizzy:
0:35 | Bloom*Sky: :purple_heart::dizzy:
0:35 | cinnamoons: HEWWO :dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:35 | Jena Wena (Was a Kyomie)!!<3: YES
0:35 |  ~ ɪ ɴ ᴋ ɢ ᴀ ᴄ ʜ ᴀ ~: Don’t let him see the chat
0:35 | Cherry: HELLOOOOOO
0:35 | “‘Atsugi Asuma”’*: LETS GOOOO
0:35 | 🎭Mari’s Bunny🐰: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:35 | Eliana Jackson: LEZZ GOO
0:35 | ziemawari 🌻: IKZZZZ :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:35 | shin: LETSGOOOO
0:35 | MochimsMochi: LETS GOOOOOOOO
0:36 | うさぎかやこ Usagi Kayako: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:36 | Shuna ;): YAYYY
0:36 | あなたとあなたとあいあいがさ☂️: :dizzy::purple_heart::dizzy::purple_heart:
0:36 | Pudding.: Hi
0:36 | Bonnie: AYYYYYYY LETS GOOOOOOO\
0:36 | neli: IVE BEEN WAITING FOR THIS ALL DAY
0:36 | sav: :purple_heart::dizzy:
