0:27 | (Member (2 months)) The Jamister : WOOOO
0:27 | (Member (2 months)) _nocchu (nanika): IKZZ:_YuQArson::_YuQArson::_YuQArson:
0:27 | kuroen97: WOOO
0:28 | TheOtakuness: IKZ! 
0:28 | (Member (2 months)) Koji-kun: :_YuQHeart::_YuQHeart::_YuQHeart:
0:28 | (New member) ƒei: :_YuQArson::_YuQArson::_YuQArson:
0:28 | (Member (2 months)) mewo /ᐠ - ˕ -マ: YIPPEEEEE
0:28 | (Member (2 months)) YURI: :_YuQHeart::_YuQHeart:
0:28 | (Member (2 months)) Khawla: let's goooooo :_YuQStick::_YuQStick::_YuQStick:
0:28 | (Member (2 months)) *Tea•*: :_YuQArson::_YuQArson::_YuQArson:
0:29 | Celine ๑: :yellow_heart::yellow_heart::yellow_heart:
0:29 | Noyaa•: YAYYY
0:29 | (Member (1 month)) ちゃんくみ 丑三つ時 [chankumi]: :_YuQArson::_YuQArson:
0:29 | ☆ Miharu: IKZZZZ
0:29 | raesthetichelly🥽: IKZ
0:29 | AngeBluBerry: Yayyyyy
0:29 | (Member (2 months)) Liz was a Kyomie: :_YuQArson::_YuQArson::_YuQArson:
0:29 | Seishirawr: LEZZZZGO
0:29 | (Member (2 months)) Esther (still in holiday mode help) : bye pre chat:_YuQArson:
0:29 | AngeKa: IKZZZZZZZZ
0:29 | (Member (2 months)) Taliny: :_YuQArson::_YuQArson::_YuQArson:
0:30 | Biniie Yeon: Let’s foo
0:30 | (Member (2 months)) faris 👹🧧: YAHOOOO
0:30 | (Member (2 months)) jinx: OHAYUUUU
0:30 | (Member (2 months)) saki: lets goooo:_YuQStick::_YuQStick::_YuQStick:
0:30 | (Member (2 months)) Candy🍓‎- ̗̀☾ ̖́-: :_YuQArson::_YuQArson::_YuQArson:
0:30 | (New member) Houki-inu: :_YuQArson::_YuQArson::_YuQArson:
0:30 | (Member (1 month)) Homma: :_YuQStick::_YuQStick::_YuQStick:
0:30 | (Member (1 month)) boba: :_YuQStick::_YuQStick:
0:31 | esu: WOOOOO
0:31 | (Member (2 months)) hinorinnn: OHAYUUUU TWO BEER WILLY:_YuQArson::_YuQHeart::_YuQHeart:
0:31 | (Member (1 month)) harps🥽💫: :_YuQHeart::_YuQHeart::_YuQHeart:
0:31 | Omega: IKZZZZ
0:31 | kino!ハジエル: lets goooo :yellow_heart::yellow_heart:
0:31 | (Member (1 month)) Brianna: :_YuQArson:
0:31 | (Member (1 month)) Honey Lilac: :_YuQStick::_YuQStick:
0:31 | blgr: ohaayyuuuu
0:31 | (Member (2 months)) Daisy Mae: :_YuQHeart::_YuQHeart::_YuQHeart:
0:32 | maria: IKZZZZ
0:32 | (Member (2 months)) kiki : OHIYUUUU
0:32 | (Member (2 months)) ★ lily: LETS GGOOOOO
0:32 | glee !: Let’s gooo
0:32 | kaoru: ohayuu
0:33 | aiyana〃: IKZZZZ
0:33 | (Member (1 month)) jegg: :_YuQArson::_YuQArson::_YuQArson:
0:33 | (Member (1 month)) Sawltii: :_YuQArson::_YuQArson::_YuQArson:
0:33 | (Member (2 months)) Yuvie。: IKKZZZZZZZ
0:33 | (New member) Raventears: :_YuQHeart::_YuQHeart::_YuQHeart::_YuQHeart:
0:34 | nanasi: LETS GOOO
0:34 | (New member) WiM🔮: :_YuQArson::_YuQArson::_YuQArson:
0:34 | Basil: IKZZZZZZZ
0:34 | (Member (2 months)) きろか Kiroka: :_YuQArson::_YuQArson::_YuQArson:
0:34 | (Member (1 month)) Jessi: :_YuQArson::_YuQArson::_YuQArson:
0:35 | Ezell: WOOO LETS GOO
0:35 | (Member (2 months)) *uncertain screeching noises*: OHAYYUUU :_YuQHeart::_YuQStick::_YuQArson:
0:35 | (Member (1 month)) k: :_YuQArson::_YuQArson::_YuQArson:
0:35 | (Member (1 month)) harps🥽💫: IKZZ
0:35 | (Member (2 months)) Multi Cat Bear: AHHHHHHHHHHHHH
0:35 | (Member (2 months)) Christy^^: :_YuQArson::_YuQArson::_YuQArson:
0:35 | Mino 🌺: IKZZZ
0:35 | (Member (2 months)) yushan⛄️冻: :_YuQArson::_YuQArson:
0:36 | (Member (1 month)) Homma: :_YuQStick::_YuQStick::_YuQStick:
0:36 | (Member (2 months)) cj: YIPPEE:_YuQHeart:
0:36 | (Member (2 months)) Aris: :_YuQHeart::_YuQHeart::_YuQHeart:
0:36 | jaenkyyy: OHAYUUU
0:36 | (Member (2 months)) moon ୨୧: :_YuQHeart::_YuQHeart::_YuQHeart:
