0:08 | キョイKyoi: happy birthday sonnyyyyy:yellow_heart::yellow_heart::yellow_heart::party_popper:
0:08 | cariemelt: IKZZZZZ
0:08 | (New member) ching123OOO: :_sonnyLight::_sonnyNegi::_sonnyLight:
0:08 | (New member) はれよん: ikz:microphone:(^o^)7:birthday_cake:
0:08 | (New member) Muufi (Dong²): :_sonnyLight::_sonnyLight::_sonnyLight:
0:08 | Pon De Yamino: Happy birthday taicho!
0:08 | (New member) uchimouchi: :_sonnyLight::_sonnyLight::_sonnyLight:
0:09 | (New member) fin: :_sonnyLight::_sonnyNegi::_sonnyLight:
0:09 | Rachel Yu: HAP BORTHDAYYYY
0:09 | (New member) MaoLin: :_sonnyLmao::_sonnyLmao::_sonnyLmao:IKZ
0:09 | (New member) YUU: :_sonnyLight::_sonnyLight::_sonnyLight:
0:09 | (New member) まんな: :_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi:
0:09 | (New member) ーーーあいす: :_sonnyKeirei::_sonnyKeirei::_sonnyLight::_sonnyLight:
0:09 | (New member) えりーEri: Happy birthday taichou:_sonnyNade::_sonnyNade:
0:09 | (New member) byeolie 별이공주: :_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi:
0:09 | (New member) mewg🔗: :_sonnyLight::_sonnyLight::_sonnyLight:
0:09 | Erin: Happy birthday Sonny:yellow_heart::yellow_heart::yellow_heart:
0:09 | poopy_gracie: happy birthday!!
0:10 | TOTO-U: HAPPY BIRTHDAY SONNY!!!
0:10 | わたなべ: :yellow_heart::yellow_heart::yellow_heart:
0:10 | 𝙀𝙢𝙞『恵美』: lets gooooo
0:10 | Rawon: HAPPY BIRTHDAY TAICHOUUU
0:10 | (New member) chz: :microphone:(^o^)7:birthday_cake: LETS GOOOOO
0:10 | (New member) n0angeldevil: :_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi:
0:10 | 璃透: HBD:confetti_ball::confetti_ball:
0:10 | (New member) ごはんおいしい: :_sonnyNegi::_sonnyNegi::_sonnyNegi::_sonnyNegi::_sonnyNegi::_sonnyNegi:
0:10 | (New member) kii : :_sonnyLight::_sonnyLight::_sonnyLight:
0:10 | (New member) オリーちゃん【Ollie-chan】: IKZZZZZZ
0:10 | (New member) Mia _: :microphone:(^o^)7:birthday_cake:
0:10 | ToMoMi: Happy birthday Sonny!!!!!:yellow_heart::yellow_heart:
0:10 | rina: WE'RE ALL SUPER PROUD OF YOU DON'T BE NERVOUS TAICHOU
0:10 | Rikaa: HAPPY BIRTHDAY TAICHOUUU
0:10 | (New member) キラキラ: :_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi:
0:11 | (New member) Miko desssz xvx아아아🎐: :_sonnyKeirei::_sonnyKeirei::_sonnyKeirei:
0:11 | Isan Min: HBD
0:11 | yuzuruwu: HAPPY BIRTHDAY TAICHOU
0:11 | (New member) こなみひとく: Happy BirthDay Taichou~~~~~~
0:11 | (New member) 9900: :_sonnyKeirei::_sonnyKeirei::_sonnyKeirei:
0:11 | (New member) august august: :microphone:(^o^)7:birthday_cake:
0:11 | ぜう: Happy birthday Taichou!!!
0:11 | (New member) 泉 [izumi]: :_sonnyNegi::_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi:
0:11 | (New member) MetaHaku: Happy Birthday taichou!
0:11 | (New member) ヨントン: :_sonnyLight::_sonnyNegi::_sonnyLight:
0:11 | (Moderator, New member) 早安 Morning: HAPPY BIRTHDAY FOR OUR BEST TAICHOU ! :microphone:(^o^)7:birthday_cake:
0:11 | Jardin Aro 🔗🤲 「 sonny's katana 」: AAAHHH
0:11 | (New member) ピンキーマフィア: happy birthday taichooooooo:_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight:
0:12 | (New member) ぴえぴえ: :_sonnyLight::_sonnyNegi::_sonnyLight:
0:12 | kaii: (^o^)7:yellow_heart::yellow_heart::yellow_heart:
0:12 | (New member) ayuccaあゆっか: わくわく
0:12 | (New member) rakurais: IKZZZZZ
0:12 | (New member) Hakaokun: :microphone:(^o^)7:birthday_cake:
0:12 | (New member) ʘᴗʘYug: :_sonnyNegi::_sonnyNegi::_sonnyNegi:
0:12 | qila: happy birthday taichou
0:12 | りん: Happybirthday:yellow_heart:
0:12 | (New member) babychii: :_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi:
0:13 | (New member) Hikaru: :_sonnyLight::_sonnyNegi::_sonnyLight:
0:13 | (New member) cloural: :_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight:
0:13 | たくみみみみみ: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
